node,new_parent,asn,experiment_id,previous_rank,new_rank,time
m3-347,m3-358,0x00000006b5,31,65535,775,2018-05-10 20:00:39.356243
m3-351,m3-358,0x0000000b14,31,65535,775,2018-05-10 20:00:56.128113
m3-346,m3-358,0x0000000b14,31,65535,775,2018-05-10 20:00:56.134648
m3-334,m3-346,0x0000000b2d,31,65535,1294,2018-05-10 20:00:56.498467
m3-335,m3-334,0x0000000ced,31,65535,1813,2018-05-10 20:01:03.212284
m3-329,m3-335,0x0000000ff0,31,65535,2332,2018-05-10 20:01:14.760428
m3-355,m3-334,0x0000001165,31,65535,1813,2018-05-10 20:01:20.378026
m3-339,m3-334,0x0000001165,31,65535,1813,2018-05-10 20:01:20.382597
m3-325,m3-329,0x000000152f,31,65535,2851,2018-05-10 20:01:34.87954
m3-343,m3-351,0x00000016d6,31,65535,1294,2018-05-10 20:01:41.228028
m3-350,m3-343,0x000000173a,31,65535,1813,2018-05-10 20:01:42.772117
m3-330,m3-339,0x00000018af,31,65535,2332,2018-05-10 20:01:48.314274
m3-354,m3-339,0x00000018af,31,65535,2332,2018-05-10 20:01:48.318904
m3-313,m3-329,0x0000001bcb,31,65535,2851,2018-05-10 20:02:00.262424
m3-310,m3-313,0x0000001c47,31,65535,3370,2018-05-10 20:02:02.100455
m3-318,m3-310,0x0000001e83,31,65535,3889,2018-05-10 20:02:10.66426
m3-314,m3-318,0x00000022e3,31,65535,4408,2018-05-10 20:02:27.497248
m3-329,m3-351,0x000000232d,31,2102,1294,2018-05-10 20:02:28.649214
m3-338,m3-346,0x000000243f,31,65535,1068,2018-05-10 20:02:32.668386
m3-326,m3-310,0x00000024d4,31,65535,3889,2018-05-10 20:02:34.901846
m3-309,m3-314,0x00000027be,31,65535,4927,2018-05-10 20:02:46.11562
m3-301,m3-309,0x0000002965,31,65535,5446,2018-05-10 20:02:52.409894
m3-342,m3-343,0x0000002bba,31,65535,1813,2018-05-10 20:03:01.361979
m3-321,m3-318,0x0000002bba,31,65535,4408,2018-05-10 20:03:01.363538
m3-298,m3-310,0x0000002c68,31,65535,3889,2018-05-10 20:03:04.005197
m3-313,m3-346,0x0000002cfe,31,1870,1099,2018-05-10 20:03:06.362191
m3-305,m3-309,0x0000002f08,31,65535,5446,2018-05-10 20:03:14.03316
m3-318,m3-334,0x0000002fe8,31,3626,1324,2018-05-10 20:03:17.476909
m3-317,m3-318,0x000000301a,31,65535,1843,2018-05-10 20:03:18.164313
m3-302,m3-298,0x0000003256,31,65535,4408,2018-05-10 20:03:26.720488
m3-314,m3-346,0x0000003256,31,1580,1068,2018-05-10 20:03:26.807025
m3-314,m3-318,0x0000003ae5,31,65535,1580,2018-05-10 20:03:59.71848
m3-355,m3-358,0x0000003c71,31,1736,775,2018-05-10 20:04:05.55898
m3-354,m3-358,0x0000003db4,31,1590,775,2018-05-10 20:04:10.388937
m3-326,m3-351,0x0000003de6,31,4545,1062,2018-05-10 20:04:11.154497
m3-330,m3-346,0x00000040b7,31,2069,1099,2018-05-10 20:04:22.006353
m3-310,m3-318,0x00000041b0,31,7499,1843,2018-05-10 20:04:25.61062
m3-313,m3-335,0x00000042a4,31,65535,1755,2018-05-10 20:04:29.452001
m3-322,m3-321,0x0000004370,31,65535,4927,2018-05-10 20:04:32.307845
m3-299,m3-317,0x0000004593,31,65535,2362,2018-05-10 20:04:40.51627
m3-329,m3-346,0x000000498b,31,65535,1099,2018-05-10 20:04:55.792758
m3-329,m3-334,0x000000498b,31,65535,1381,2018-05-10 20:04:55.917142
m3-314,m3-346,0x0000004da4,31,1580,1031,2018-05-10 20:05:11.529369
m3-325,m3-346,0x0000004fe0,31,2556,1031,2018-05-10 20:05:20.153464
m3-321,m3-346,0x0000005298,31,1580,1031,2018-05-10 20:05:30.528748
m3-305,m3-314,0x00000054d4,31,2129,1550,2018-05-10 20:05:39.136891
m3-306,m3-313,0x00000055e6,31,65535,2274,2018-05-10 20:05:43.114028
m3-330,m3-334,0x0000005e73,31,6912,1361,2018-05-10 20:06:15.917389
m3-309,m3-321,0x000000631d,31,7431,1550,2018-05-10 20:06:33.810696
m3-314,m3-326,0x00000068b9,31,65535,1544,2018-05-10 20:06:55.426353
m3-326,m3-346,0x0000006c0d,31,2149,1068,2018-05-10 20:07:08.247539
m3-301,m3-314,0x0000006cd4,31,3210,1550,2018-05-10 20:07:11.204613
m3-306,m3-325,0x0000006cd4,31,2779,1550,2018-05-10 20:07:11.260693
m3-305,m3-326,0x0000006ec5,31,65535,1581,2018-05-10 20:07:18.663298
m3-321,m3-334,0x0000006f9c,31,65535,1324,2018-05-10 20:07:21.796726
m3-314,m3-325,0x000000705c,31,65535,1550,2018-05-10 20:07:24.659193
m3-309,m3-325,0x0000007541,31,65535,1550,2018-05-10 20:07:43.604582
