node,destination,asn,iana_6top_cmd,requested_cell,experiment_id,time
m3-347,m3-358,0x00000006e7,1,1,31,2018-05-10 20:00:40.103344
m3-346,m3-358,0x0000000b91,1,1,31,2018-05-10 20:00:58.01514
m3-334,m3-346,0x0000000b91,1,1,31,2018-05-10 20:00:58.026431
m3-351,m3-358,0x0000000b91,1,1,31,2018-05-10 20:00:58.027687
m3-334,m3-346,0x0000000d1f,1,1,31,2018-05-10 20:01:03.97035
m3-335,m3-334,0x0000000d1f,1,1,31,2018-05-10 20:01:03.970579
m3-334,m3-346,0x0000000ead,1,1,31,2018-05-10 20:01:09.925611
m3-334,m3-346,0x0000000f74,6,0,31,2018-05-10 20:01:12.902782
m3-346,m3-358,0x0000000f79,1,1,31,2018-05-10 20:01:12.981271
m3-335,m3-334,0x000000103b,1,1,31,2018-05-10 20:01:15.895579
m3-329,m3-335,0x000000103b,1,1,31,2018-05-10 20:01:15.899361
m3-335,m3-334,0x0000001102,1,1,31,2018-05-10 20:01:18.877698
m3-329,m3-335,0x00000011c9,1,1,31,2018-05-10 20:01:21.882635
m3-334,m3-346,0x00000011c9,6,0,31,2018-05-10 20:01:21.902389
m3-355,m3-334,0x00000011c9,1,1,31,2018-05-10 20:01:21.903852
m3-339,m3-334,0x00000011c9,1,1,31,2018-05-10 20:01:21.90776
m3-335,m3-334,0x0000001357,1,1,31,2018-05-10 20:01:27.817259
m3-334,m3-346,0x0000001357,1,1,31,2018-05-10 20:01:27.824825
m3-334,m3-346,0x000000141e,1,1,31,2018-05-10 20:01:30.796867
m3-334,m3-346,0x00000014e5,1,1,31,2018-05-10 20:01:33.778101
m3-325,m3-329,0x00000015ac,1,1,31,2018-05-10 20:01:36.759106
m3-343,m3-351,0x000000173a,1,1,31,2018-05-10 20:01:42.778658
m3-329,m3-335,0x000000173a,1,2,31,2018-05-10 20:01:42.781679
m3-355,m3-334,0x000000173a,1,1,31,2018-05-10 20:01:42.784153
m3-339,m3-334,0x0000001801,1,1,31,2018-05-10 20:01:45.710999
m3-350,m3-343,0x0000001801,1,1,31,2018-05-10 20:01:45.717546
m3-351,m3-358,0x0000001805,1,1,31,2018-05-10 20:01:45.769889
m3-335,m3-334,0x0000001810,1,3,31,2018-05-10 20:01:45.937623
m3-354,m3-339,0x00000018c8,1,1,31,2018-05-10 20:01:48.715431
m3-330,m3-339,0x00000018c8,1,1,31,2018-05-10 20:01:48.721305
m3-355,m3-334,0x00000018c8,1,1,31,2018-05-10 20:01:48.72668
m3-350,m3-343,0x000000198f,1,1,31,2018-05-10 20:01:51.681454
m3-339,m3-334,0x0000001a56,1,2,31,2018-05-10 20:01:54.649173
m3-334,m3-346,0x0000001a56,1,3,31,2018-05-10 20:01:54.680671
m3-339,m3-334,0x0000001b1d,1,2,31,2018-05-10 20:01:57.652345
m3-334,m3-346,0x0000001b1d,1,3,31,2018-05-10 20:01:57.66636
m3-350,m3-343,0x0000001b1d,1,1,31,2018-05-10 20:01:57.669011
m3-346,m3-358,0x0000001b22,1,3,31,2018-05-10 20:01:57.697572
m3-334,m3-346,0x0000001be4,1,3,31,2018-05-10 20:02:00.628974
m3-313,m3-329,0x0000001be4,1,1,31,2018-05-10 20:02:00.639291
m3-354,m3-339,0x0000001be4,1,1,31,2018-05-10 20:02:00.643359
m3-310,m3-313,0x0000001cab,1,1,31,2018-05-10 20:02:03.60572
m3-334,m3-346,0x0000001cab,6,0,31,2018-05-10 20:02:03.608784
m3-329,m3-335,0x0000001cba,1,1,31,2018-05-10 20:02:03.827309
m3-313,m3-329,0x0000001d72,1,1,31,2018-05-10 20:02:06.576619
m3-354,m3-339,0x0000001d72,1,1,31,2018-05-10 20:02:06.578487
m3-318,m3-310,0x0000001f00,1,1,31,2018-05-10 20:02:12.543061
m3-354,m3-339,0x0000001f00,1,1,31,2018-05-10 20:02:12.543854
