node,new_parent,asn,experiment_id,previous_rank,new_rank,time
m3-347,m3-358,0x00000006b5,1,65535,621,2018-05-10 12:49:25.787891
m3-346,m3-358,0x0000000b14,1,65535,621,2018-05-10 12:49:42.568831
m3-351,m3-358,0x0000000b14,1,65535,621,2018-05-10 12:49:42.56917
m3-334,m3-346,0x0000000b2d,1,65535,986,2018-05-10 12:49:42.926577
m3-350,m3-334,0x0000000ca2,1,65535,1351,2018-05-10 12:49:48.523044
m3-335,m3-334,0x0000000ca2,1,65535,1351,2018-05-10 12:49:48.524022
m3-338,m3-334,0x0000000d1f,1,65535,1351,2018-05-10 12:49:50.417277
m3-326,m3-335,0x0000001009,1,65535,1716,2018-05-10 12:50:01.577196
m3-322,m3-335,0x0000001009,1,65535,1716,2018-05-10 12:50:01.57734
m3-355,m3-346,0x000000114c,1,65535,986,2018-05-10 12:50:06.405623
m3-318,m3-326,0x000000117e,1,65535,2081,2018-05-10 12:50:07.156807
m3-314,m3-326,0x000000117e,1,65535,2081,2018-05-10 12:50:07.158759
m3-343,m3-338,0x00000012da,1,65535,1716,2018-05-10 12:50:12.369847
m3-339,m3-314,0x0000001436,1,65535,2446,2018-05-10 12:50:17.582393
m3-321,m3-326,0x00000015ac,1,65535,2081,2018-05-10 12:50:23.22283
m3-342,m3-326,0x00000015ac,1,65535,2081,2018-05-10 12:50:23.222957
m3-313,m3-318,0x00000016ef,1,65535,2446,2018-05-10 12:50:28.026061
m3-329,m3-343,0x0000001a0b,1,65535,2081,2018-05-10 12:50:39.965039
m3-330,m3-343,0x0000001a0b,1,65535,2081,2018-05-10 12:50:39.969521
m3-325,m3-338,0x0000001ad2,1,65535,1716,2018-05-10 12:50:42.936195
m3-326,m3-346,0x0000001d27,1,1607,986,2018-05-10 12:50:51.971202
m3-317,m3-325,0x0000001e20,1,65535,2081,2018-05-10 12:50:55.610826
m3-306,m3-318,0x0000001f95,1,65535,2446,2018-05-10 12:51:01.200543
m3-354,m3-335,0x0000002506,1,65535,1716,2018-05-10 12:51:22.078648
m3-305,m3-306,0x00000026ad,1,65535,2811,2018-05-10 12:51:28.421457
m3-301,m3-305,0x000000283b,1,65535,3176,2018-05-10 12:51:34.374657
m3-343,m3-351,0x0000002a77,1,2033,986,2018-05-10 12:51:43.026254
m3-326,m3-351,0x0000002ba6,1,65535,986,2018-05-10 12:51:47.623977
m3-334,m3-335,0x0000002bb8,1,65535,1716,2018-05-10 12:51:47.860717
m3-338,m3-347,0x000000315d,1,2100,894,2018-05-10 12:52:09.5073
m3-302,m3-306,0x00000031c0,1,65535,2811,2018-05-10 12:52:10.899636
m3-309,m3-317,0x0000003224,1,65535,2446,2018-05-10 12:52:12.396556
m3-350,m3-358,0x000000328c,1,65535,621,2018-05-10 12:52:13.998182
m3-350,m3-347,0x000000328c,1,65535,986,2018-05-10 12:52:14.077811
m3-339,m3-346,0x00000032dd,1,65535,986,2018-05-10 12:52:15.191079
m3-339,m3-351,0x00000032dd,1,65535,986,2018-05-10 12:52:15.272406
m3-339,m3-338,0x00000032dd,1,65535,1716,2018-05-10 12:52:15.351473
m3-342,m3-346,0x00000032f5,1,65535,986,2018-05-10 12:52:15.519551
m3-326,m3-335,0x0000003349,1,65535,1607,2018-05-10 12:52:16.888898
m3-299,m3-309,0x000000390a,1,65535,2811,2018-05-10 12:52:38.85281
m3-350,m3-351,0x0000003a10,1,65535,986,2018-05-10 12:52:42.999046
m3-350,m3-335,0x0000003a10,1,65535,1716,2018-05-10 12:52:43.076487
m3-350,m3-343,0x0000003a10,1,65535,2081,2018-05-10 12:52:43.15286
m3-339,m3-321,0x0000003a6f,1,65535,2446,2018-05-10 12:52:44.204281
m3-325,m3-318,0x0000003a62,1,65535,1607,2018-05-10 12:52:44.205049
m3-318,m3-335,0x0000003b78,1,2567,1716,2018-05-10 12:52:48.257815
m3-350,m3-355,0x0000003c58,1,65535,1351,2018-05-10 12:52:51.537194
m3-339,m3-346,0x0000003c8a,1,65535,986,2018-05-10 12:52:52.321999
m3-317,m3-318,0x0000004085,1,2356,1607,2018-05-10 12:53:07.667921
m3-310,m3-325,0x0000004102,1,65535,1972,2018-05-10 12:53:09.415927
m3-326,m3-346,0x000000414c,1,1607,986,2018-05-10 12:53:10.605019
m3-298,m3-301,0x0000004325,1,65535,3541,2018-05-10 12:53:17.620459
m3-309,m3-318,0x000000488b,1,65535,1607,2018-05-10 12:53:38.381181
m3-338,m3-351,0x0000004889,1,65535,877,2018-05-10 12:53:38.38982
m3-355,m3-358,0x00000049b5,1,65535,621,2018-05-10 12:53:42.934032
m3-299,m3-306,0x0000004f8a,1,65535,2062,2018-05-10 12:54:05.245081
m3-309,m3-322,0x0000004fff,1,65535,2081,2018-05-10 12:54:06.904815
m3-338,m3-342,0x0000004ffe,1,65535,1351,2018-05-10 12:54:06.999779
m3-338,m3-330,0x0000004ffe,1,65535,2446,2018-05-10 12:54:07.074537
m3-305,m3-317,0x000000508e,1,2811,1972,2018-05-10 12:54:09.137693
m3-318,m3-346,0x000000509d,1,65535,895,2018-05-10 12:54:09.350583
m3-355,m3-347,0x000000514b,1,65535,894,2018-05-10 12:54:11.883956
m3-355,m3-343,0x000000514b,1,65535,1133,2018-05-10 12:54:11.965007
m3-313,m3-329,0x000000540d,1,2175,1646,2018-05-10 12:54:22.560892
m3-354,m3-358,0x0000005538,1,1700,621,2018-05-10 12:54:27.025492
m3-317,m3-339,0x00000058a0,1,65535,1351,2018-05-10 12:54:40.229567
m3-301,m3-314,0x0000005a77,1,2437,1899,2018-05-10 12:54:47.180904
m3-338,m3-321,0x0000005c69,1,65535,1607,2018-05-10 12:54:54.543279
m3-309,m3-301,0x0000005ccc,1,65535,2264,2018-05-10 12:54:56.014049
m3-302,m3-317,0x0000005fbd,1,65535,1972,2018-05-10 12:55:07.331611
m3-302,m3-305,0x0000005fbd,1,65535,2336,2018-05-10 12:55:07.408612
m3-305,m3-314,0x0000005fc0,1,65535,1899,2018-05-10 12:55:07.579754
m3-322,m3-346,0x0000006001,1,1646,895,2018-05-10 12:55:08.404531
m3-322,m3-347,0x0000006149,1,65535,941,2018-05-10 12:55:13.22659
m3-313,m3-314,0x0000006148,1,65535,1899,2018-05-10 12:55:13.381151
m3-310,m3-318,0x0000006256,1,2192,1260,2018-05-10 12:55:17.337479
m3-317,m3-313,0x000000658b,1,65535,2264,2018-05-10 12:55:29.559442
m3-318,m3-322,0x0000006729,1,65535,1306,2018-05-10 12:55:35.749129
m3-302,m3-310,0x0000006743,1,65535,1625,2018-05-10 12:55:36.149884
m3-305,m3-310,0x0000006746,1,65535,2337,2018-05-10 12:55:36.326187
m3-335,m3-351,0x00000067e0,1,1972,877,2018-05-10 12:55:38.593523
m3-334,m3-351,0x0000006843,1,1607,877,2018-05-10 12:55:40.120867
m3-298,m3-310,0x0000006955,1,2155,1625,2018-05-10 12:55:44.237308
m3-299,m3-310,0x0000006fa6,1,2782,1625,2018-05-10 12:56:08.400157
m3-322,m3-343,0x0000007097,1,65535,1133,2018-05-10 12:56:12.134491
m3-350,m3-358,0x0000007389,1,1280,621,2018-05-10 12:56:23.31475
m3-310,m3-321,0x0000007593,1,2815,1607,2018-05-10 12:56:31.124102
m3-318,m3-321,0x0000007631,1,65535,4570,2018-05-10 12:56:33.641044
m3-306,m3-322,0x0000007738,1,65535,1306,2018-05-10 12:56:37.467004
m3-306,m3-321,0x0000007738,1,65535,1607,2018-05-10 12:56:37.531876
m3-318,m3-310,0x0000007db5,1,65535,4588,2018-05-10 12:57:02.379714
m3-318,m3-334,0x0000007db5,1,65535,5044,2018-05-10 12:57:02.455521
m3-301,m3-321,0x0000007e51,1,65535,1607,2018-05-10 12:57:04.801526
m3-325,m3-346,0x0000007e70,1,65535,3840,2018-05-10 12:57:05.273791
m3-306,m3-301,0x0000007ecd,1,65535,2264,2018-05-10 12:57:06.481608
m3-306,m3-309,0x0000007ecd,1,65535,2629,2018-05-10 12:57:06.554765
m3-306,m3-302,0x0000007ecd,1,65535,2701,2018-05-10 12:57:06.63328
m3-318,m3-325,0x0000007f00,1,65535,4205,2018-05-10 12:57:07.209127
m3-338,m3-346,0x000000832e,1,4570,877,2018-05-10 12:57:23.258046
m3-309,m3-325,0x0000008430,1,65535,1242,2018-05-10 12:57:27.108401
m3-314,m3-339,0x000000856a,1,1790,1133,2018-05-10 12:57:31.891162
m3-301,m3-299,0x00000085de,1,65535,1990,2018-05-10 12:57:33.57066
m3-301,m3-309,0x00000085de,1,65535,2629,2018-05-10 12:57:33.654392
m3-325,m3-339,0x0000008600,1,65535,1133,2018-05-10 12:57:34.05996
m3-321,m3-339,0x00000087bf,1,5850,1133,2018-05-10 12:57:40.822151
m3-301,m3-302,0x0000008ba2,1,65535,1990,2018-05-10 12:57:55.663081
m3-321,m3-343,0x0000008df7,1,65535,1133,2018-05-10 12:58:04.734902
m3-326,m3-351,0x0000008ef1,1,65535,877,2018-05-10 12:58:08.562712
m3-317,m3-334,0x00000094dd,1,1793,1242,2018-05-10 12:58:31.154235
m3-326,m3-322,0x0000009694,1,65535,1428,2018-05-10 12:58:37.696587
m3-309,m3-314,0x0000009a8b,1,65535,1498,2018-05-10 12:58:52.858286
m3-321,m3-346,0x0000009ae3,1,4096,877,2018-05-10 12:58:54.176043
m3-318,m3-339,0x0000009bc5,1,65535,1133,2018-05-10 12:58:57.739089
m3-317,m3-335,0x000000a25f,1,1837,1151,2018-05-10 12:59:22.981726
m3-318,m3-329,0x000000a349,1,65535,1428,2018-05-10 12:59:26.388944
m3-318,m3-325,0x000000a349,1,65535,1498,2018-05-10 12:59:26.469745
m3-306,m3-298,0x000000a4fe,1,65535,4953,2018-05-10 12:59:32.956811
m3-301,m3-322,0x000000b05d,1,2119,1428,2018-05-10 13:00:16.673347
m3-301,m3-314,0x000000b331,1,65535,1467,2018-05-10 13:00:27.436897
m3-317,m3-321,0x000000c27c,1,65535,1242,2018-05-10 13:01:26.093399
m3-310,m3-322,0x000000cf2a,1,4205,1389,2018-05-10 13:02:14.697197
m3-321,m3-339,0x000000d9d0,1,65535,4096,2018-05-10 13:02:55.77324
m3-317,m3-338,0x000000e0bc,1,65535,1133,2018-05-10 13:03:22.089348
m3-306,m3-314,0x000000e91c,1,2093,1422,2018-05-10 13:03:54.302371
m3-317,m3-335,0x000000efdb,1,65535,1133,2018-05-10 13:04:20.152159
m3-321,m3-346,0x000000ffbc,1,65535,892,2018-05-10 13:05:21.092189
m3-321,m3-329,0x0000010752,1,65535,1407,2018-05-10 13:05:50.298089
m3-321,m3-309,0x0000010752,1,65535,1709,2018-05-10 13:05:50.427869
m3-321,m3-306,0x0000010752,1,65535,2064,2018-05-10 13:05:50.50076
m3-321,m3-330,0x0000011539,1,65535,1453,2018-05-10 13:06:43.438192
m3-318,m3-346,0x0000014e5b,1,1504,877,2018-05-10 13:10:22.753845
m3-318,m3-343,0x0000015f2d,1,65535,1150,2018-05-10 13:11:27.103977
m3-318,m3-339,0x00000175b9,1,65535,1133,2018-05-10 13:12:53.591493
m3-313,m3-346,0x000002c4f0,1,1420,877,2018-05-10 13:34:19.509293
m3-313,m3-339,0x000002f251,1,2448,1133,2018-05-10 13:37:13.577989
m3-326,m3-347,0x000003419b,1,1408,877,2018-05-10 13:42:17.751606
m3-343,m3-358,0x000003534a,1,1587,621,2018-05-10 13:43:25.750076
m3-326,m3-350,0x00000356ca,1,1472,877,2018-05-10 13:43:38.929093
m3-326,m3-351,0x000003a231,1,1472,877,2018-05-10 13:48:28.192721
m3-325,m3-346,0x000003c892,1,1408,877,2018-05-10 13:50:55.387779
m3-313,m3-338,0x000003ef26,1,1762,1151,2018-05-10 13:53:23.459547
m3-313,m3-346,0x0000044128,1,1425,877,2018-05-10 13:58:37.982554
m3-313,m3-329,0x00000462d0,1,65535,4223,2018-05-10 14:00:47.194512
m3-313,m3-346,0x000004ab12,1,1476,877,2018-05-10 14:05:24.182146
m3-355,m3-358,0x000004b2bf,1,1172,621,2018-05-10 14:05:53.683146
m3-326,m3-347,0x000004bae9,1,1472,895,2018-05-10 14:06:25.039448
m3-299,m3-313,0x000004c6ab,1,1756,1242,2018-05-10 14:07:10.101565
m3-313,m3-338,0x000004cdf6,1,65535,1151,2018-05-10 14:07:38.0379
m3-299,m3-318,0x00000514fc,1,2102,1407,2018-05-10 14:12:10.487487
m3-299,m3-314,0x00000532b8,1,2962,1466,2018-05-10 14:14:04.543616
m3-325,m3-354,0x0000055839,1,1472,877,2018-05-10 14:16:28.459009
m3-313,m3-339,0x000005819e,1,1762,1133,2018-05-10 14:19:07.212201
m3-346,m3-351,0x0000059255,1,3584,877,2018-05-10 14:20:11.843759
m3-343,m3-351,0x00000592d1,1,3584,877,2018-05-10 14:20:13.704634
m3-347,m3-358,0x00000006b5,2,65535,621,2018-05-10 21:32:02.279526
m3-346,m3-358,0x0000000b14,2,65535,621,2018-05-10 21:32:19.05433
m3-351,m3-358,0x0000000b14,2,65535,621,2018-05-10 21:32:19.058731
m3-334,m3-351,0x0000000b5f,2,65535,986,2018-05-10 21:32:20.168901
m3-338,m3-334,0x0000000fbe,2,65535,1351,2018-05-10 21:32:36.970514
m3-325,m3-334,0x0000000fbe,2,65535,1351,2018-05-10 21:32:36.974728
m3-314,m3-334,0x000000133e,2,65535,1351,2018-05-10 21:32:50.362953
m3-355,m3-351,0x0000001357,2,65535,986,2018-05-10 21:32:50.750631
m3-343,m3-338,0x00000013ec,2,65535,1716,2018-05-10 21:32:52.970916
m3-335,m3-334,0x0000001481,2,65535,1351,2018-05-10 21:32:55.224201
