node,destination,asn,iana_6top_cmd,requested_cell,experiment_id,time
m3-347,m3-358,0x00000006e7,1,1,1,2018-05-10 12:49:26.535492
m3-351,m3-358,0x0000000b91,1,1,1,2018-05-10 12:49:44.452966
m3-334,m3-346,0x0000000b91,1,1,1,2018-05-10 12:49:44.465169
m3-346,m3-358,0x0000000b91,1,1,1,2018-05-10 12:49:44.472868
m3-346,m3-358,0x0000000c58,1,1,1,2018-05-10 12:49:47.412369
m3-335,m3-334,0x0000000d1f,1,1,1,2018-05-10 12:49:50.447413
m3-346,m3-358,0x0000000d1f,6,0,1,2018-05-10 12:49:50.454229
m3-350,m3-334,0x0000000d1f,1,1,1,2018-05-10 12:49:50.455061
m3-334,m3-346,0x0000000d1f,1,1,1,2018-05-10 12:49:50.460719
m3-338,m3-334,0x0000000de6,1,1,1,2018-05-10 12:49:53.37592
m3-346,m3-358,0x0000000de6,1,1,1,2018-05-10 12:49:53.384123
m3-334,m3-346,0x0000000f74,1,2,1,2018-05-10 12:49:59.33372
m3-334,m3-346,0x000000103b,1,2,1,2018-05-10 12:50:02.349133
m3-326,m3-335,0x000000103b,1,1,1,2018-05-10 12:50:02.379548
m3-322,m3-335,0x000000103b,1,1,1,2018-05-10 12:50:02.388145
m3-350,m3-334,0x000000103b,1,1,1,2018-05-10 12:50:02.391994
m3-335,m3-334,0x000000103b,1,1,1,2018-05-10 12:50:02.393286
m3-346,m3-358,0x0000001102,1,2,1,2018-05-10 12:50:05.294728
m3-350,m3-334,0x00000011c9,1,1,1,2018-05-10 12:50:08.335277
m3-355,m3-346,0x00000011c9,1,1,1,2018-05-10 12:50:08.338001
m3-334,m3-346,0x00000011c9,1,2,1,2018-05-10 12:50:08.346818
m3-314,m3-326,0x00000011c9,1,1,1,2018-05-10 12:50:08.355733
m3-318,m3-326,0x00000011c9,1,1,1,2018-05-10 12:50:08.356199
m3-322,m3-335,0x00000011c9,1,1,1,2018-05-10 12:50:08.384057
m3-326,m3-335,0x0000001290,1,2,1,2018-05-10 12:50:11.256597
m3-343,m3-338,0x0000001357,1,1,1,2018-05-10 12:50:14.265108
m3-346,m3-358,0x0000001357,1,2,1,2018-05-10 12:50:14.269488
m3-334,m3-346,0x0000001357,1,2,1,2018-05-10 12:50:14.280204
m3-346,m3-358,0x000000141e,1,2,1,2018-05-10 12:50:17.223676
m3-346,m3-358,0x00000014e5,6,0,1,2018-05-10 12:50:20.248042
m3-350,m3-334,0x00000014e5,1,1,1,2018-05-10 12:50:20.251778
m3-339,m3-314,0x00000014e5,1,1,1,2018-05-10 12:50:20.256908
m3-322,m3-335,0x00000014e5,1,1,1,2018-05-10 12:50:20.269627
m3-334,m3-346,0x00000015ac,1,2,1,2018-05-10 12:50:23.229036
m3-342,m3-326,0x0000001673,1,1,1,2018-05-10 12:50:26.203764
m3-350,m3-334,0x0000001673,1,1,1,2018-05-10 12:50:26.214013
m3-321,m3-326,0x0000001673,1,1,1,2018-05-10 12:50:26.217219
m3-322,m3-335,0x0000001673,1,1,1,2018-05-10 12:50:26.220539
m3-335,m3-334,0x0000001686,1,3,1,2018-05-10 12:50:26.452299
m3-334,m3-346,0x000000173a,1,2,1,2018-05-10 12:50:29.175989
m3-313,m3-318,0x000000173a,1,1,1,2018-05-10 12:50:29.180625
m3-334,m3-346,0x0000001801,6,0,1,2018-05-10 12:50:32.157874
m3-350,m3-334,0x0000001801,1,1,1,2018-05-10 12:50:32.184442
m3-346,m3-358,0x0000001801,1,2,1,2018-05-10 12:50:32.187118
m3-355,m3-346,0x0000001801,1,1,1,2018-05-10 12:50:32.195406
m3-318,m3-326,0x0000001809,1,1,1,2018-05-10 12:50:32.246875
m3-334,m3-346,0x00000018c8,6,0,1,2018-05-10 12:50:35.165315
m3-355,m3-346,0x00000018c8,1,1,1,2018-05-10 12:50:35.178079
m3-342,m3-326,0x00000018c8,1,1,1,2018-05-10 12:50:35.192021
m3-346,m3-358,0x00000018c8,1,2,1,2018-05-10 12:50:35.198004
m3-321,m3-326,0x00000018c8,1,1,1,2018-05-10 12:50:35.198115
m3-346,m3-358,0x000000198f,6,0,1,2018-05-10 12:50:38.10052
m3-330,m3-343,0x0000001a56,1,1,1,2018-05-10 12:50:41.093099
m3-350,m3-334,0x0000001a56,1,1,1,2018-05-10 12:50:41.098348
m3-329,m3-343,0x0000001a56,1,1,1,2018-05-10 12:50:41.104723
m3-343,m3-338,0x0000001b1d,1,1,1,2018-05-10 12:50:44.085829
m3-325,m3-338,0x0000001b1d,1,1,1,2018-05-10 12:50:44.087143
m3-346,m3-358,0x0000001b1d,1,3,1,2018-05-10 12:50:44.098326
m3-335,m3-334,0x0000001b30,1,3,1,2018-05-10 12:50:44.341768
m3-330,m3-343,0x0000001be4,1,1,1,2018-05-10 12:50:47.054084
m3-334,m3-346,0x0000001be4,6,0,1,2018-05-10 12:50:47.057881
m3-329,m3-343,0x0000001cab,1,1,1,2018-05-10 12:50:50.072147
m3-325,m3-338,0x0000001cab,1,1,1,2018-05-10 12:50:50.081868
m3-322,m3-335,0x0000001cab,1,1,1,2018-05-10 12:50:50.092209
m3-346,m3-358,0x0000001d72,1,3,1,2018-05-10 12:50:53.002022
m3-326,m3-346,0x0000001d85,1,3,1,2018-05-10 12:50:53.288104
m3-343,m3-338,0x0000001e39,1,1,1,2018-05-10 12:50:56.015627
m3-317,m3-325,0x0000001e39,1,1,1,2018-05-10 12:50:56.01911
m3-339,m3-314,0x0000001e39,1,1,1,2018-05-10 12:50:56.020543
m3-329,m3-343,0x0000001f00,1,1,1,2018-05-10 12:50:58.971837
m3-325,m3-338,0x0000001f00,1,1,1,2018-05-10 12:50:58.974816
m3-326,m3-346,0x0000001f13,1,3,1,2018-05-10 12:50:59.249385
m3-339,m3-314,0x0000001fc7,1,1,1,2018-05-10 12:51:01.970551
m3-317,m3-325,0x0000001fc7,1,1,1,2018-05-10 12:51:01.982114
m3-306,m3-318,0x0000001fc7,1,1,1,2018-05-10 12:51:01.984992
m3-329,m3-343,0x000000208e,1,1,1,2018-05-10 12:51:04.932848
m3-338,m3-334,0x0000002155,1,1,1,2018-05-10 12:51:07.915823
m3-335,m3-334,0x0000002168,1,3,1,2018-05-10 12:51:08.19714
m3-343,m3-338,0x000000221c,1,1,1,2018-05-10 12:51:10.894838
m3-342,m3-326,0x000000221c,1,1,1,2018-05-10 12:51:10.901479
m3-325,m3-338,0x0000002222,1,2,1,2018-05-10 12:51:10.982985
m3-326,m3-346,0x000000222f,1,3,1,2018-05-10 12:51:11.18115
m3-338,m3-334,0x00000022e3,1,2,1,2018-05-10 12:51:13.929867
m3-355,m3-346,0x00000022e3,1,1,1,2018-05-10 12:51:13.952106
m3-346,m3-358,0x00000022e3,1,3,1,2018-05-10 12:51:13.953632
m3-339,m3-314,0x00000022e3,1,1,1,2018-05-10 12:51:13.961065
