node,new_parent,asn,experiment_id,previous_rank,new_rank,time
m3-347,m3-358,0x00000006b5,51,65535,834,2018-05-23 11:22:36.896706
m3-346,m3-358,0x0000000b14,51,65535,834,2018-05-23 11:22:53.670289
m3-330,m3-346,0x0000000b2d,51,65535,1412,2018-05-23 11:22:54.036324
m3-334,m3-330,0x0000000cbb,51,65535,1990,2018-05-23 11:23:00.002645
m3-338,m3-346,0x0000000d06,51,65535,1412,2018-05-23 11:23:01.129476
m3-351,m3-346,0x0000000d06,51,65535,1412,2018-05-23 11:23:01.140306
m3-329,m3-338,0x0000000fbe,51,65535,4740,2018-05-23 11:23:11.549021
m3-355,m3-351,0x0000000ff0,51,65535,1990,2018-05-23 11:23:12.306297
m3-318,m3-329,0x00000011b0,51,65535,5318,2018-05-23 11:23:19.050497
m3-322,m3-329,0x00000011b0,51,65535,5318,2018-05-23 11:23:19.05282
m3-342,m3-346,0x00000011b0,51,65535,1412,2018-05-23 11:23:19.058737
m3-339,m3-334,0x00000013a1,51,65535,2568,2018-05-23 11:23:26.455983
m3-321,m3-330,0x00000014cc,51,65535,1990,2018-05-23 11:23:30.933741
m3-305,m3-318,0x00000016bd,51,65535,5896,2018-05-23 11:23:38.403655
m3-325,m3-330,0x00000016d6,51,65535,4740,2018-05-23 11:23:38.764877
m3-354,m3-346,0x0000001819,51,65535,1141,2018-05-23 11:23:43.61548
m3-350,m3-346,0x0000001819,51,65535,1141,2018-05-23 11:23:43.616732
m3-302,m3-305,0x000000184b,51,65535,6474,2018-05-23 11:23:44.352627
m3-326,m3-330,0x0000001aeb,51,65535,2128,2018-05-23 11:23:54.429443
m3-309,m3-330,0x0000001aeb,51,65535,2128,2018-05-23 11:23:54.435572
m3-313,m3-325,0x0000001c15,51,65535,5318,2018-05-23 11:23:58.880586
m3-306,m3-305,0x0000001dbc,51,65535,6474,2018-05-23 11:24:05.231634
m3-310,m3-302,0x0000001e39,51,65535,7052,2018-05-23 11:24:07.111645
m3-343,m3-350,0x00000020bf,51,65535,4469,2018-05-23 11:24:16.797521
m3-318,m3-334,0x000000235f,51,5044,2568,2018-05-23 11:24:26.924195
m3-305,m3-309,0x0000002378,51,5853,2706,2018-05-23 11:24:27.296003
m3-301,m3-302,0x0000002582,51,65535,7052,2018-05-23 11:24:35.063341
m3-299,m3-306,0x00000028d0,51,65535,7052,2018-05-23 11:24:47.712665
m3-335,m3-339,0x0000002ccc,51,65535,5896,2018-05-23 11:25:02.99401
