node,destination,asn,iana_6top_cmd,requested_cell,experiment_id,time
m3-347,m3-358,0x00000006e7,1,1,51,2018-05-23 11:22:37.640579
m3-346,m3-358,0x0000000b91,1,1,51,2018-05-23 11:22:55.542692
m3-330,m3-346,0x0000000b91,1,1,51,2018-05-23 11:22:55.543072
m3-346,m3-358,0x0000000c58,1,1,51,2018-05-23 11:22:58.514156
m3-338,m3-346,0x0000000d1f,1,1,51,2018-05-23 11:23:01.508487
m3-334,m3-330,0x0000000d1f,1,1,51,2018-05-23 11:23:01.532936
m3-351,m3-346,0x0000000d1f,1,1,51,2018-05-23 11:23:01.535933
m3-330,m3-346,0x0000000de6,1,1,51,2018-05-23 11:23:04.496217
m3-346,m3-358,0x0000000de6,1,1,51,2018-05-23 11:23:04.499755
m3-351,m3-346,0x0000000ead,1,1,51,2018-05-23 11:23:07.457031
m3-346,m3-358,0x0000000f7a,1,1,51,2018-05-23 11:23:10.533755
m3-329,m3-338,0x000000103b,1,1,51,2018-05-23 11:23:13.426869
m3-355,m3-351,0x000000103b,1,1,51,2018-05-23 11:23:13.428765
m3-338,m3-346,0x0000001102,1,1,51,2018-05-23 11:23:16.404655
m3-322,m3-329,0x00000011c9,1,1,51,2018-05-23 11:23:19.401263
m3-318,m3-329,0x00000011c9,1,1,51,2018-05-23 11:23:19.429559
m3-342,m3-346,0x00000011c9,1,1,51,2018-05-23 11:23:19.435119
m3-346,m3-358,0x00000011cf,1,1,51,2018-05-23 11:23:19.477594
m3-329,m3-338,0x0000001290,1,1,51,2018-05-23 11:23:22.378467
m3-351,m3-346,0x0000001290,1,2,51,2018-05-23 11:23:22.37927
m3-338,m3-346,0x0000001357,1,1,51,2018-05-23 11:23:25.358324
m3-329,m3-338,0x000000141e,1,1,51,2018-05-23 11:23:28.351568
m3-339,m3-334,0x000000141e,1,1,51,2018-05-23 11:23:28.352789
m3-334,m3-330,0x00000014e5,1,1,51,2018-05-23 11:23:31.313729
m3-321,m3-330,0x00000014e5,1,1,51,2018-05-23 11:23:31.318182
m3-338,m3-346,0x00000014e9,1,1,51,2018-05-23 11:23:31.364792
m3-321,m3-330,0x00000015ac,1,1,51,2018-05-23 11:23:34.297202
m3-330,m3-346,0x00000015b2,1,1,51,2018-05-23 11:23:34.385429
m3-330,m3-346,0x0000001679,1,1,51,2018-05-23 11:23:37.365568
m3-342,m3-346,0x000000173a,1,1,51,2018-05-23 11:23:40.279535
m3-305,m3-318,0x000000173a,1,1,51,2018-05-23 11:23:40.279668
m3-325,m3-330,0x000000173a,1,1,51,2018-05-23 11:23:40.285121
m3-346,m3-358,0x0000001745,1,3,51,2018-05-23 11:23:40.423521
m3-346,m3-358,0x000000180c,1,3,51,2018-05-23 11:23:43.39532
m3-330,m3-346,0x000000180c,1,1,51,2018-05-23 11:23:43.418067
m3-318,m3-329,0x00000018c8,1,1,51,2018-05-23 11:23:46.272278
m3-350,m3-346,0x00000018c8,1,1,51,2018-05-23 11:23:46.277769
m3-302,m3-305,0x00000018c8,1,1,51,2018-05-23 11:23:46.279866
m3-354,m3-346,0x00000018c8,1,1,51,2018-05-23 11:23:46.282038
m3-346,m3-358,0x00000018d3,1,3,51,2018-05-23 11:23:46.38796
m3-305,m3-318,0x000000198f,1,1,51,2018-05-23 11:23:49.205243
m3-318,m3-329,0x0000001a56,1,1,51,2018-05-23 11:23:52.206161
m3-329,m3-338,0x0000001a56,1,1,51,2018-05-23 11:23:52.216653
m3-346,m3-358,0x0000001a61,1,2,51,2018-05-23 11:23:52.349319
m3-309,m3-330,0x0000001b1d,1,1,51,2018-05-23 11:23:55.207006
m3-326,m3-330,0x0000001b1d,1,1,51,2018-05-23 11:23:55.208504
m3-346,m3-358,0x0000001b28,1,2,51,2018-05-23 11:23:55.339283
m3-342,m3-346,0x0000001be4,1,1,51,2018-05-23 11:23:58.164069
m3-354,m3-346,0x0000001be4,1,1,51,2018-05-23 11:23:58.176862
m3-329,m3-338,0x0000001be4,1,1,51,2018-05-23 11:23:58.177997
m3-313,m3-325,0x0000001cab,1,1,51,2018-05-23 11:24:01.135039
m3-346,m3-358,0x0000001cb6,1,2,51,2018-05-23 11:24:01.298251
m3-354,m3-346,0x0000001d72,1,1,51,2018-05-23 11:24:04.146926
m3-309,m3-330,0x0000001d72,1,1,51,2018-05-23 11:24:04.155236
m3-325,m3-330,0x0000001d73,1,1,51,2018-05-23 11:24:04.169185
m3-330,m3-346,0x0000001d7d,1,1,51,2018-05-23 11:24:04.337731
m3-306,m3-305,0x0000001e39,1,1,51,2018-05-23 11:24:07.111147
m3-330,m3-346,0x0000001e44,1,1,51,2018-05-23 11:24:07.256783
m3-310,m3-302,0x0000001f00,1,1,51,2018-05-23 11:24:10.131673
m3-309,m3-330,0x0000001f00,1,1,51,2018-05-23 11:24:10.163416
m3-346,m3-358,0x0000001f0b,1,2,51,2018-05-23 11:24:10.234577
m3-302,m3-305,0x0000001fc7,1,1,51,2018-05-23 11:24:13.104056
m3-318,m3-329,0x0000001fc7,1,1,51,2018-05-23 11:24:13.124065
m3-350,m3-346,0x0000001fc7,1,1,51,2018-05-23 11:24:13.125523
m3-342,m3-346,0x0000001fc7,1,1,51,2018-05-23 11:24:13.127906
m3-305,m3-318,0x0000001fc7,1,1,51,2018-05-23 11:24:13.132656
m3-305,m3-318,0x000000208e,1,1,51,2018-05-23 11:24:16.061501
m3-329,m3-338,0x000000208e,1,1,51,2018-05-23 11:24:16.068343
m3-318,m3-329,0x000000208e,1,1,51,2018-05-23 11:24:16.076
m3-318,m3-329,0x0000002155,1,1,51,2018-05-23 11:24:19.077887
m3-305,m3-318,0x0000002155,1,1,51,2018-05-23 11:24:19.105089
m3-343,m3-350,0x0000002155,1,1,51,2018-05-23 11:24:19.106189
m3-309,m3-330,0x0000002155,1,1,51,2018-05-23 11:24:19.106512
m3-329,m3-338,0x0000002155,1,1,51,2018-05-23 11:24:19.110035
m3-338,m3-346,0x0000002159,1,1,51,2018-05-23 11:24:19.13467
m3-305,m3-318,0x000000221c,1,2,51,2018-05-23 11:24:22.004661
m3-338,m3-346,0x0000002220,1,1,51,2018-05-23 11:24:22.051047
m3-325,m3-330,0x00000022e4,1,1,51,2018-05-23 11:24:25.000644
m3-342,m3-346,0x00000023aa,1,1,51,2018-05-23 11:24:27.989474
m3-330,m3-346,0x000000247c,1,2,51,2018-05-23 11:24:31.164761
m3-350,m3-346,0x0000002538,1,1,51,2018-05-23 11:24:33.927782
m3-329,m3-338,0x00000025ff,1,2,51,2018-05-23 11:24:36.936324
m3-301,m3-302,0x00000025ff,1,1,51,2018-05-23 11:24:36.938612
m3-318,m3-334,0x00000025ff,1,3,51,2018-05-23 11:24:36.9425
m3-346,m3-358,0x000000260a,1,1,51,2018-05-23 11:24:37.07726
m3-329,m3-338,0x00000026c6,1,2,51,2018-05-23 11:24:39.946652
m3-302,m3-305,0x00000026c6,1,1,51,2018-05-23 11:24:39.95299
m3-343,m3-350,0x00000026c6,1,1,51,2018-05-23 11:24:39.969699
m3-346,m3-358,0x00000026d1,1,2,51,2018-05-23 11:24:40.047947
m3-330,m3-346,0x0000002798,1,2,51,2018-05-23 11:24:43.065219
m3-318,m3-334,0x0000002854,1,3,51,2018-05-23 11:24:45.84366
m3-338,m3-346,0x0000002858,1,3,51,2018-05-23 11:24:45.905841
m3-299,m3-306,0x000000291b,1,1,51,2018-05-23 11:24:48.841195
m3-318,m3-334,0x00000029e2,1,3,51,2018-05-23 11:24:51.826143
m3-305,m3-309,0x00000029e2,1,3,51,2018-05-23 11:24:51.841181
m3-318,m3-334,0x0000002aa9,1,2,51,2018-05-23 11:24:54.818657
m3-299,m3-306,0x0000002aa9,1,1,51,2018-05-23 11:24:54.827997
m3-338,m3-346,0x0000002aad,1,3,51,2018-05-23 11:24:54.853462
m3-305,m3-318,0x0000002b17,6,0,51,2018-05-23 11:24:56.449942
m3-309,m3-330,0x0000002b80,1,3,51,2018-05-23 11:24:58.025855
m3-318,m3-334,0x0000002c37,1,2,51,2018-05-23 11:25:00.778494
m3-306,m3-305,0x0000002c37,1,1,51,2018-05-23 11:25:00.803177
m3-335,m3-339,0x0000002cfe,1,1,51,2018-05-23 11:25:03.788881
m3-318,m3-334,0x0000002cfe,1,2,51,2018-05-23 11:25:03.79632
m3-343,m3-350,0x0000002cfe,1,1,51,2018-05-23 11:25:03.80277
m3-306,m3-305,0x0000002cfe,1,1,51,2018-05-23 11:25:03.805661
m3-305,m3-309,0x0000002d0e,1,2,51,2018-05-23 11:25:03.987947
m3-350,m3-346,0x0000002dc7,1,1,51,2018-05-23 11:25:06.754459
m3-305,m3-309,0x0000002dd5,1,1,51,2018-05-23 11:25:06.96606
m3-339,m3-334,0x0000002e95,1,1,51,2018-05-23 11:25:09.859771
m3-330,m3-346,0x0000002e97,1,2,51,2018-05-23 11:25:09.908184
m3-314,m3-301,0x0000002f53,1,1,51,2018-05-23 11:25:12.784167
m3-334,m3-330,0x0000002f55,1,3,51,2018-05-23 11:25:12.797813
m3-346,m3-358,0x0000002f5e,1,1,51,2018-05-23 11:25:12.852919
m3-339,m3-334,0x0000002f5c,1,1,51,2018-05-23 11:25:12.875231
m3-330,m3-346,0x0000002f5e,1,2,51,2018-05-23 11:25:12.993267
m3-317,m3-313,0x000000301a,1,1,51,2018-05-23 11:25:15.673588
m3-330,m3-346,0x0000003025,1,2,51,2018-05-23 11:25:15.867217
m3-313,m3-325,0x00000030e1,1,1,51,2018-05-23 11:25:18.686901
m3-334,m3-330,0x00000030e3,1,3,51,2018-05-23 11:25:18.739539
m3-314,m3-301,0x00000031a8,1,1,51,2018-05-23 11:25:21.641145
m3-325,m3-330,0x00000031a9,1,1,51,2018-05-23 11:25:21.667144
m3-309,m3-330,0x00000031b8,1,3,51,2018-05-23 11:25:21.890185
m3-338,m3-346,0x0000003273,1,3,51,2018-05-23 11:25:24.676112
m3-330,m3-346,0x000000327a,1,2,51,2018-05-23 11:25:24.805177
m3-318,m3-329,0x0000003291,6,0,51,2018-05-23 11:25:25.126626
m3-305,m3-318,0x000000329d,6,0,51,2018-05-23 11:25:25.324174
m3-330,m3-346,0x0000003341,1,2,51,2018-05-23 11:25:27.766369
m3-334,m3-330,0x000000335f,6,0,51,2018-05-23 11:25:28.223791
m3-318,m3-334,0x00000034c4,1,2,51,2018-05-23 11:25:33.561834
m3-313,m3-309,0x000000358b,1,2,51,2018-05-23 11:25:36.575816
m3-298,m3-306,0x000000358b,1,1,51,2018-05-23 11:25:36.597295
m3-334,m3-347,0x000000358d,1,3,51,2018-05-23 11:25:36.598663
m3-339,m3-334,0x0000003594,1,1,51,2018-05-23 11:25:36.687571
m3-330,m3-346,0x0000003596,1,2,51,2018-05-23 11:25:36.709023
m3-313,m3-309,0x0000003652,1,1,51,2018-05-23 11:25:39.605719
m3-309,m3-330,0x0000003662,1,3,51,2018-05-23 11:25:39.764366
m3-318,m3-334,0x0000003719,1,2,51,2018-05-23 11:25:42.509344
m3-330,m3-346,0x0000003724,1,2,51,2018-05-23 11:25:42.674674
m3-309,m3-330,0x0000003729,1,3,51,2018-05-23 11:25:42.766059
m3-306,m3-305,0x00000037e0,1,1,51,2018-05-23 11:25:45.50381
m3-338,m3-346,0x00000038ab,1,3,51,2018-05-23 11:25:48.548118
m3-330,m3-346,0x00000038b2,1,3,51,2018-05-23 11:25:48.659176
m3-309,m3-330,0x00000038b7,1,3,51,2018-05-23 11:25:48.728061
m3-346,m3-358,0x0000003979,1,2,51,2018-05-23 11:25:51.614308
m3-305,m3-309,0x000000397e,1,1,51,2018-05-23 11:25:51.688083
m3-318,m3-329,0x0000003a15,6,0,51,2018-05-23 11:25:53.977629
m3-305,m3-318,0x0000003a23,6,0,51,2018-05-23 11:25:54.167852
m3-313,m3-309,0x0000003a35,1,1,51,2018-05-23 11:25:54.442841
m3-339,m3-334,0x0000003a3e,1,1,51,2018-05-23 11:25:54.579853
m3-309,m3-330,0x0000003a45,1,3,51,2018-05-23 11:25:54.705785
m3-329,m3-338,0x0000003afe,2,2,51,2018-05-23 11:25:57.479707
m3-334,m3-330,0x0000003b06,6,0,51,2018-05-23 11:25:57.575509
m3-309,m3-330,0x0000003b0c,1,1,51,2018-05-23 11:25:57.677333
m3-314,m3-301,0x0000003bc3,1,1,51,2018-05-23 11:26:00.408267
m3-325,m3-330,0x0000003bc4,1,1,51,2018-05-23 11:26:00.409054
m3-325,m3-330,0x0000003d52,1,1,51,2018-05-23 11:26:06.379592
m3-346,m3-358,0x0000003d5c,1,2,51,2018-05-23 11:26:06.528445
m3-330,m3-346,0x0000003d5c,1,3,51,2018-05-23 11:26:06.577138
m3-309,m3-330,0x0000003d61,1,1,51,2018-05-23 11:26:06.60163
m3-314,m3-301,0x0000003e18,1,1,51,2018-05-23 11:26:09.353582
m3-346,m3-358,0x0000003eea,1,2,51,2018-05-23 11:26:12.493617
m3-305,m3-309,0x000000407d,1,1,51,2018-05-23 11:26:18.528965
m3-338,m3-346,0x0000004138,1,3,51,2018-05-23 11:26:21.327494
m3-302,m3-305,0x00000041a9,6,0,51,2018-05-23 11:26:23.035102
m3-305,m3-318,0x00000041a9,6,0,51,2018-05-23 11:26:23.044433
m3-313,m3-309,0x00000041fb,1,1,51,2018-05-23 11:26:24.289925
m3-306,m3-309,0x00000041fb,1,3,51,2018-05-23 11:26:24.302124
m3-329,m3-338,0x00000041fd,2,2,51,2018-05-23 11:26:24.310751
m3-346,m3-358,0x0000004209,1,2,51,2018-05-23 11:26:24.494197
m3-338,m3-346,0x0000004209,1,1,51,2018-05-23 11:26:24.503996
m3-313,m3-325,0x00000042b1,6,0,51,2018-05-23 11:26:27.11645
m3-306,m3-309,0x00000042c2,1,3,51,2018-05-23 11:26:27.256049
m3-346,m3-358,0x00000042d0,1,2,51,2018-05-23 11:26:27.461907
m3-306,m3-309,0x0000004389,1,2,51,2018-05-23 11:26:30.229239
m3-329,m3-338,0x000000438b,2,2,51,2018-05-23 11:26:30.261848
m3-325,m3-330,0x000000438d,2,2,51,2018-05-23 11:26:30.275017
m3-330,m3-346,0x0000004394,1,3,51,2018-05-23 11:26:30.449501
m3-309,m3-330,0x0000004399,1,3,51,2018-05-23 11:26:30.472245
m3-330,m3-346,0x000000445b,1,3,51,2018-05-23 11:26:33.407065
m3-309,m3-330,0x0000004460,1,3,51,2018-05-23 11:26:33.440504
m3-314,m3-301,0x0000004517,1,1,51,2018-05-23 11:26:36.194832
m3-318,m3-321,0x0000004517,1,3,51,2018-05-23 11:26:36.19906
m3-330,m3-346,0x0000004522,1,3,51,2018-05-23 11:26:36.413366
m3-318,m3-321,0x00000045de,1,2,51,2018-05-23 11:26:39.168066
m3-321,m3-330,0x00000045de,1,3,51,2018-05-23 11:26:39.185008
m3-338,m3-346,0x00000045ed,2,2,51,2018-05-23 11:26:39.365594
m3-330,m3-346,0x00000045e9,1,3,51,2018-05-23 11:26:39.449255
m3-321,m3-330,0x00000046a5,1,3,51,2018-05-23 11:26:42.177511
m3-329,m3-338,0x00000046a5,1,1,51,2018-05-23 11:26:42.185574
m3-310,m3-309,0x00000046a5,1,1,51,2018-05-23 11:26:42.194345
m3-314,m3-301,0x00000046a5,1,1,51,2018-05-23 11:26:42.19971
m3-309,m3-330,0x000000477c,1,3,51,2018-05-23 11:26:45.377639
m3-346,m3-358,0x0000004841,1,2,51,2018-05-23 11:26:48.314436
m3-330,m3-346,0x000000483e,1,3,51,2018-05-23 11:26:48.358562
m3-310,m3-302,0x00000048a0,6,0,51,2018-05-23 11:26:49.744583
m3-329,m3-338,0x00000048fa,1,1,51,2018-05-23 11:26:51.09047
m3-306,m3-309,0x00000048fa,1,2,51,2018-05-23 11:26:51.101037
m3-325,m3-330,0x00000048fe,2,2,51,2018-05-23 11:26:51.143791
m3-318,m3-334,0x000000491d,6,0,51,2018-05-23 11:26:51.636905
m3-302,m3-305,0x000000492f,6,0,51,2018-05-23 11:26:51.883809
m3-305,m3-318,0x000000492f,6,0,51,2018-05-23 11:26:51.88571
m3-306,m3-305,0x00000049bd,6,0,51,2018-05-23 11:26:54.013467
m3-325,m3-330,0x00000049c1,1,1,51,2018-05-23 11:26:54.075633
m3-318,m3-321,0x0000004a88,1,2,51,2018-05-23 11:26:57.05905
m3-346,m3-358,0x0000004a96,1,2,51,2018-05-23 11:26:57.265182
m3-309,m3-330,0x0000004a98,1,3,51,2018-05-23 11:26:57.295093
m3-305,m3-309,0x0000004a98,2,2,51,2018-05-23 11:26:57.297901
m3-309,m3-330,0x0000004b5f,1,3,51,2018-05-23 11:27:00.277798
m3-302,m3-309,0x0000004c16,1,2,51,2018-05-23 11:27:03.033459
m3-335,m3-338,0x0000004c1f,1,1,51,2018-05-23 11:27:03.156062
m3-314,m3-301,0x0000004cdd,1,1,51,2018-05-23 11:27:05.993584
m3-321,m3-330,0x0000004cdd,1,3,51,2018-05-23 11:27:06.0074
m3-330,m3-346,0x0000004ce8,1,2,51,2018-05-23 11:27:06.166915
m3-309,m3-330,0x0000004ced,1,3,51,2018-05-23 11:27:06.270674
m3-346,m3-358,0x0000004db2,1,2,51,2018-05-23 11:27:09.228936
m3-305,m3-309,0x0000004db4,2,2,51,2018-05-23 11:27:09.244594
m3-339,m3-338,0x0000004e74,1,2,51,2018-05-23 11:27:12.106954
m3-309,m3-330,0x0000004e7b,1,3,51,2018-05-23 11:27:12.199082
m3-302,m3-309,0x0000004f32,1,2,51,2018-05-23 11:27:14.955159
m3-314,m3-301,0x0000004f32,1,1,51,2018-05-23 11:27:14.961237
m3-338,m3-346,0x0000004f40,1,1,51,2018-05-23 11:27:15.153997
m3-329,m3-338,0x0000004ff9,1,1,51,2018-05-23 11:27:17.962392
m3-309,m3-330,0x0000005009,1,3,51,2018-05-23 11:27:18.165335
m3-346,m3-358,0x0000005007,1,1,51,2018-05-23 11:27:18.19412
m3-318,m3-334,0x00000050a1,6,0,51,2018-05-23 11:27:20.477094
m3-302,m3-305,0x00000050b5,6,0,51,2018-05-23 11:27:20.758268
m3-305,m3-318,0x00000050b5,6,0,51,2018-05-23 11:27:20.768059
m3-335,m3-339,0x00000050cd,6,0,51,2018-05-23 11:27:21.106722
m3-339,m3-334,0x0000005131,6,0,51,2018-05-23 11:27:22.602881
m3-305,m3-309,0x0000005197,2,2,51,2018-05-23 11:27:24.129233
m3-309,m3-330,0x000000525e,1,3,51,2018-05-23 11:27:27.100468
m3-330,m3-346,0x0000005259,2,2,51,2018-05-23 11:27:27.101649
m3-321,m3-330,0x0000005315,1,3,51,2018-05-23 11:27:29.911031
m3-302,m3-309,0x0000005315,1,2,51,2018-05-23 11:27:29.924482
m3-330,m3-346,0x0000005320,2,2,51,2018-05-23 11:27:30.181109
m3-330,m3-346,0x00000053e7,2,2,51,2018-05-23 11:27:33.000458
m3-309,m3-330,0x00000053ec,1,3,51,2018-05-23 11:27:33.079865
m3-346,m3-358,0x00000054b1,1,1,51,2018-05-23 11:27:36.008466
