node,new_parent,asn,experiment_id,previous_rank,new_rank,time
m3-347,m3-358,0x00000006b5,41,65535,834,2018-05-17 10:25:13.050422
m3-346,m3-358,0x0000000b14,41,65535,834,2018-05-17 10:25:29.833268
m3-351,m3-358,0x0000000b14,41,65535,834,2018-05-17 10:25:29.834563
m3-334,m3-351,0x0000000b5f,41,65535,1412,2018-05-17 10:25:30.942418
m3-338,m3-346,0x0000000d06,41,65535,1412,2018-05-17 10:25:37.281277
m3-330,m3-346,0x0000000dcd,41,65535,1412,2018-05-17 10:25:40.27039
m3-329,m3-338,0x0000000fa5,41,65535,1990,2018-05-17 10:25:47.337232
m3-314,m3-338,0x0000001165,41,65535,1990,2018-05-17 10:25:54.061398
m3-343,m3-330,0x000000133e,41,65535,1990,2018-05-17 10:26:01.134379
m3-322,m3-338,0x00000014fd,41,65535,1990,2018-05-17 10:26:07.846888
m3-342,m3-338,0x00000014fd,41,65535,1990,2018-05-17 10:26:07.86341
m3-354,m3-338,0x00000016d6,41,65535,1990,2018-05-17 10:26:14.940232
m3-325,m3-338,0x00000016d6,41,65535,1990,2018-05-17 10:26:14.94303
m3-309,m3-325,0x0000001e20,41,65535,2568,2018-05-17 10:26:42.890369
m3-350,m3-351,0x0000002043,41,65535,1090,2018-05-17 10:26:51.07285
m3-339,m3-329,0x000000210a,41,65535,2568,2018-05-17 10:26:54.052035
m3-321,m3-325,0x0000002314,41,65535,2568,2018-05-17 10:27:01.87964
m3-318,m3-321,0x0000002809,41,65535,3146,2018-05-17 10:27:20.888008
m3-302,m3-309,0x000000286c,41,65535,3146,2018-05-17 10:27:22.392767
m3-305,m3-309,0x000000286c,41,65535,3146,2018-05-17 10:27:22.417008
m3-313,m3-318,0x000000297e,41,65535,3724,2018-05-17 10:27:26.478231
m3-298,m3-302,0x000000297e,41,65535,3724,2018-05-17 10:27:26.485952
m3-310,m3-298,0x00000029e2,41,65535,4302,2018-05-17 10:27:28.013487
m3-355,m3-358,0x0000002b57,41,65535,834,2018-05-17 10:27:33.575952
m3-317,m3-321,0x0000002dac,41,65535,3146,2018-05-17 10:27:42.524153
m3-306,m3-309,0x0000002fb6,41,65535,3146,2018-05-17 10:27:50.370457
m3-354,m3-358,0x0000003215,41,65535,834,2018-05-17 10:27:59.575998
m3-299,m3-317,0x00000037ae,41,65535,3724,2018-05-17 10:28:20.909953
m3-301,m3-298,0x0000003db4,41,65535,4302,2018-05-17 10:28:44.030563
m3-335,m3-343,0x0000003de6,41,65535,2568,2018-05-17 10:28:44.77086
m3-298,m3-314,0x0000004389,41,3402,2445,2018-05-17 10:29:06.48385
m3-305,m3-330,0x000000457b,41,4936,1984,2018-05-17 10:29:13.960311
m3-309,m3-330,0x0000004882,41,65535,1538,2018-05-17 10:29:25.699541
m3-309,m3-322,0x0000004883,41,65535,2568,2018-05-17 10:29:25.7798
m3-309,m3-318,0x0000004883,41,65535,3724,2018-05-17 10:29:25.835409
m3-309,m3-302,0x0000004883,41,65535,3724,2018-05-17 10:29:25.910295
m3-310,m3-322,0x000000492c,41,2980,1779,2018-05-17 10:29:28.074508
m3-326,m3-325,0x0000004f00,41,65535,2274,2018-05-17 10:29:50.372003
m3-299,m3-314,0x0000005203,41,6474,2445,2018-05-17 10:30:01.91248
m3-325,m3-347,0x00000053ab,41,2867,1590,2018-05-17 10:30:08.437211
m3-299,m3-298,0x00000056e8,41,65535,2767,2018-05-17 10:30:20.800554
m3-325,m3-329,0x00000059b1,41,3894,1602,2018-05-17 10:30:31.357302
m3-313,m3-346,0x000000623e,41,2512,1680,2018-05-17 10:31:04.23226
m3-305,m3-314,0x0000006730,41,65535,1881,2018-05-17 10:31:23.13241
m3-313,m3-338,0x000000708c,41,65535,1832,2018-05-17 10:31:59.222562
m3-306,m3-310,0x0000007102,41,4034,2357,2018-05-17 10:32:00.942023
m3-299,m3-314,0x0000009a03,41,3364,2336,2018-05-17 10:34:38.215417
m3-299,m3-310,0x000000a0ff,41,65535,2639,2018-05-17 10:35:04.870558
m3-298,m3-305,0x000000a21c,41,65535,2488,2018-05-17 10:35:09.149948
m3-313,m3-346,0x000000a2c3,41,2064,1536,2018-05-17 10:35:11.731434
m3-302,m3-305,0x000000ab4f,41,4029,2488,2018-05-17 10:35:44.543463
m3-301,m3-314,0x000000ab95,41,65535,2336,2018-05-17 10:35:45.660363
m3-301,m3-310,0x000000ab95,41,65535,2626,2018-05-17 10:35:45.75877
m3-335,m3-346,0x000000ae21,41,1836,1090,2018-05-17 10:35:55.351663
m3-302,m3-309,0x000000b9f8,41,65535,3043,2018-05-17 10:36:40.800489
m3-343,m3-346,0x000000c034,41,1654,1135,2018-05-17 10:37:04.690967
m3-302,m3-310,0x000000c2d3,41,6072,2304,2018-05-17 10:37:14.661782
m3-309,m3-318,0x000000c74b,41,65535,2744,2018-05-17 10:37:31.816124
m3-313,m3-314,0x000000cc63,41,65535,1656,2018-05-17 10:37:51.335601
m3-330,m3-351,0x000000e35d,41,65535,1536,2018-05-17 10:39:19.519812
m3-330,m3-335,0x0000010f1b,41,2880,1442,2018-05-17 10:42:07.376777
m3-339,m3-347,0x0000054895,41,1755,1090,2018-05-17 11:51:15.726546
m3-346,m3-347,0x0000059144,41,3584,1208,2018-05-17 11:55:57.387859
m3-351,m3-354,0x0000059491,41,3584,1090,2018-05-17 11:56:07.049117
m3-347,m3-358,0x00000006b5,42,65535,834,2018-05-17 12:21:23.03329
m3-346,m3-358,0x0000000b14,42,65535,834,2018-05-17 12:21:39.814698
m3-351,m3-358,0x0000000b14,42,65535,834,2018-05-17 12:21:39.815753
