node,destination,asn,iana_6top_cmd,requested_cell,experiment_id,time
m3-347,m3-358,0x00000006e7,1,1,41,2018-05-17 10:25:13.799861
m3-334,m3-351,0x0000000b91,1,1,41,2018-05-17 10:25:31.717847
m3-346,m3-358,0x0000000b91,1,1,41,2018-05-17 10:25:31.73031
m3-351,m3-358,0x0000000b91,1,1,41,2018-05-17 10:25:31.731387
m3-338,m3-346,0x0000000d1f,1,1,41,2018-05-17 10:25:37.654432
m3-330,m3-346,0x0000000de6,1,1,41,2018-05-17 10:25:40.647704
m3-351,m3-358,0x0000000de6,1,1,41,2018-05-17 10:25:40.648732
m3-346,m3-358,0x0000000ec3,1,2,41,2018-05-17 10:25:43.955305
m3-329,m3-338,0x000000103b,1,1,41,2018-05-17 10:25:49.59305
m3-338,m3-346,0x0000001118,1,1,41,2018-05-17 10:25:52.893864
m3-314,m3-338,0x00000011c9,1,1,41,2018-05-17 10:25:55.568246
m3-338,m3-346,0x00000012a6,1,1,41,2018-05-17 10:25:58.862858
m3-346,m3-358,0x00000012a6,1,1,41,2018-05-17 10:25:58.989869
m3-343,m3-330,0x0000001357,1,1,41,2018-05-17 10:26:01.508289
m3-338,m3-346,0x000000136d,1,1,41,2018-05-17 10:26:01.837448
m3-346,m3-358,0x0000001434,1,1,41,2018-05-17 10:26:04.822779
m3-342,m3-338,0x00000015ac,1,1,41,2018-05-17 10:26:10.482575
m3-322,m3-338,0x00000015ac,1,1,41,2018-05-17 10:26:10.484678
m3-338,m3-346,0x0000001689,1,2,41,2018-05-17 10:26:13.766202
m3-354,m3-338,0x000000173a,1,1,41,2018-05-17 10:26:16.455577
m3-325,m3-338,0x000000173a,1,1,41,2018-05-17 10:26:16.460446
m3-346,m3-358,0x0000001750,1,2,41,2018-05-17 10:26:16.747221
m3-325,m3-338,0x0000001801,1,1,41,2018-05-17 10:26:19.389955
m3-343,m3-330,0x000000198f,1,1,41,2018-05-17 10:26:25.372965
m3-354,m3-338,0x000000198f,1,1,41,2018-05-17 10:26:25.375843
m3-330,m3-346,0x0000001a56,1,1,41,2018-05-17 10:26:28.363121
m3-325,m3-338,0x0000001a56,1,1,41,2018-05-17 10:26:28.374346
m3-325,m3-338,0x0000001be4,1,1,41,2018-05-17 10:26:34.304701
m3-346,m3-358,0x0000001bfa,1,1,41,2018-05-17 10:26:34.636118
m3-309,m3-325,0x0000001e39,1,1,41,2018-05-17 10:26:43.253239
m3-325,m3-338,0x0000001f00,1,1,41,2018-05-17 10:26:46.249688
m3-354,m3-338,0x0000001f00,1,1,41,2018-05-17 10:26:46.261121
m3-325,m3-338,0x000000208e,1,1,41,2018-05-17 10:26:52.231031
m3-350,m3-351,0x000000208e,1,1,41,2018-05-17 10:26:52.235059
m3-354,m3-338,0x000000208e,1,1,41,2018-05-17 10:26:52.236852
m3-338,m3-346,0x00000020a4,1,1,41,2018-05-17 10:26:52.529849
m3-325,m3-338,0x0000002155,1,1,41,2018-05-17 10:26:55.183353
m3-339,m3-329,0x0000002155,1,1,41,2018-05-17 10:26:55.186082
m3-351,m3-358,0x0000002164,1,1,41,2018-05-17 10:26:55.400433
m3-346,m3-358,0x000000216b,1,1,41,2018-05-17 10:26:55.504117
m3-325,m3-338,0x00000022e3,6,0,41,2018-05-17 10:27:01.141719
m3-309,m3-325,0x00000023aa,1,1,41,2018-05-17 10:27:04.154538
m3-354,m3-338,0x00000023aa,1,1,41,2018-05-17 10:27:04.167554
m3-325,m3-338,0x00000023aa,6,0,41,2018-05-17 10:27:04.182011
m3-321,m3-325,0x00000023aa,1,1,41,2018-05-17 10:27:04.183283
m3-346,m3-358,0x00000023c0,1,1,41,2018-05-17 10:27:04.455483
m3-325,m3-338,0x0000002471,6,0,41,2018-05-17 10:27:07.122182
m3-309,m3-325,0x0000002538,1,1,41,2018-05-17 10:27:10.088041
m3-354,m3-338,0x00000025ff,1,1,41,2018-05-17 10:27:13.106807
m3-309,m3-325,0x00000025ff,1,1,41,2018-05-17 10:27:13.1158
m3-321,m3-325,0x00000025ff,1,1,41,2018-05-17 10:27:13.129261
m3-325,m3-338,0x00000025ff,6,0,41,2018-05-17 10:27:13.129392
m3-318,m3-321,0x0000002854,1,1,41,2018-05-17 10:27:22.024999
m3-309,m3-325,0x000000291b,1,1,41,2018-05-17 10:27:25.058031
m3-321,m3-325,0x000000291b,1,1,41,2018-05-17 10:27:25.08159
m3-325,m3-338,0x000000291b,6,0,41,2018-05-17 10:27:25.0817
m3-305,m3-309,0x000000291b,1,1,41,2018-05-17 10:27:25.088611
m3-302,m3-309,0x000000291b,1,1,41,2018-05-17 10:27:25.10092
m3-313,m3-318,0x00000029e2,1,1,41,2018-05-17 10:27:27.996819
m3-298,m3-302,0x00000029e2,1,1,41,2018-05-17 10:27:28.02329
m3-339,m3-329,0x0000002aa9,1,1,41,2018-05-17 10:27:30.981651
m3-310,m3-298,0x0000002aa9,1,1,41,2018-05-17 10:27:31.022537
m3-313,m3-318,0x0000002aa9,1,1,41,2018-05-17 10:27:31.025355
m3-318,m3-321,0x0000002aa9,1,2,41,2018-05-17 10:27:31.030246
m3-302,m3-309,0x0000002aa9,1,1,41,2018-05-17 10:27:31.032075
m3-325,m3-338,0x0000002b70,6,0,41,2018-05-17 10:27:33.950919
m3-355,m3-358,0x0000002b70,1,1,41,2018-05-17 10:27:33.954206
m3-318,m3-321,0x0000002c37,1,2,41,2018-05-17 10:27:36.973399
m3-313,m3-318,0x0000002c37,6,0,41,2018-05-17 10:27:36.975456
m3-339,m3-329,0x0000002c37,1,1,41,2018-05-17 10:27:36.985669
m3-321,m3-325,0x0000002cfe,1,3,41,2018-05-17 10:27:39.924567
m3-302,m3-309,0x0000002cfe,1,1,41,2018-05-17 10:27:39.928182
m3-309,m3-325,0x0000002cfe,1,1,41,2018-05-17 10:27:39.931178
m3-325,m3-338,0x0000002dc5,6,0,41,2018-05-17 10:27:42.916947
m3-309,m3-325,0x0000002dc5,1,1,41,2018-05-17 10:27:42.925289
m3-317,m3-321,0x0000002dc5,1,1,41,2018-05-17 10:27:42.933484
m3-339,m3-329,0x0000002f53,1,1,41,2018-05-17 10:27:48.894424
m3-313,m3-318,0x0000002f53,6,0,41,2018-05-17 10:27:48.904393
m3-325,m3-338,0x0000002f53,1,1,41,2018-05-17 10:27:48.905724
m3-321,m3-325,0x0000002f53,1,3,41,2018-05-17 10:27:48.911353
m3-321,m3-325,0x000000301a,1,3,41,2018-05-17 10:27:51.848328
m3-306,m3-309,0x000000301a,1,1,41,2018-05-17 10:27:51.867159
m3-298,m3-302,0x000000301a,1,2,41,2018-05-17 10:27:51.867533
m3-325,m3-338,0x00000030e1,1,1,41,2018-05-17 10:27:54.832679
m3-317,m3-321,0x00000030e1,1,1,41,2018-05-17 10:27:54.84213
m3-317,m3-321,0x00000031a8,1,1,41,2018-05-17 10:27:57.838461
m3-313,m3-318,0x00000031a8,6,0,41,2018-05-17 10:27:57.901244
m3-321,m3-325,0x00000031a8,1,3,41,2018-05-17 10:27:57.903184
m3-318,m3-321,0x00000031a8,1,2,41,2018-05-17 10:27:57.9033
m3-305,m3-309,0x00000031a8,1,1,41,2018-05-17 10:27:57.905578
m3-298,m3-302,0x000000326f,1,2,41,2018-05-17 10:28:00.801406
m3-309,m3-325,0x000000326f,1,2,41,2018-05-17 10:28:00.80154
m3-325,m3-338,0x0000003336,1,1,41,2018-05-17 10:28:03.785288
m3-317,m3-321,0x0000003336,1,1,41,2018-05-17 10:28:03.786845
m3-318,m3-321,0x0000003336,1,2,41,2018-05-17 10:28:03.786984
m3-325,m3-338,0x00000034c4,1,1,41,2018-05-17 10:28:09.731942
m3-354,m3-358,0x00000034c4,1,1,41,2018-05-17 10:28:09.745401
m3-318,m3-321,0x000000358b,6,0,41,2018-05-17 10:28:12.756233
m3-309,m3-325,0x000000358b,1,2,41,2018-05-17 10:28:12.765165
m3-306,m3-309,0x000000358b,1,1,41,2018-05-17 10:28:12.770772
m3-302,m3-309,0x0000003652,1,3,41,2018-05-17 10:28:15.752649
m3-313,m3-318,0x0000003652,6,0,41,2018-05-17 10:28:15.774895
