node,new_parent,asn,experiment_id,previous_rank,new_rank,time
m3-347,m3-358,0x00000006b5,21,65535,512,2018-05-10 18:27:15.361089
m3-351,m3-358,0x0000000b46,21,65535,512,2018-05-10 18:27:32.868075
m3-334,m3-351,0x0000000b78,21,65535,1450,2018-05-10 18:27:33.607825
m3-350,m3-334,0x0000000ca2,21,65535,4266,2018-05-10 18:27:38.080852
m3-335,m3-334,0x0000000ca2,21,65535,1706,2018-05-10 18:27:38.083474
m3-330,m3-347,0x0000000dcd,21,65535,3384,2018-05-10 18:27:42.556302
m3-334,m3-335,0x0000000e30,21,3328,1962,2018-05-10 18:27:44.136223
m3-329,m3-335,0x0000000ef7,21,65535,1962,2018-05-10 18:27:47.033513
m3-338,m3-335,0x0000000ef7,21,65535,1962,2018-05-10 18:27:47.036971
m3-354,m3-351,0x0000000f8c,21,65535,768,2018-05-10 18:27:49.265953
m3-322,m3-330,0x000000109e,21,65535,3640,2018-05-10 18:27:53.403321
m3-342,m3-330,0x000000109e,21,65535,6200,2018-05-10 18:27:53.417576
m3-342,m3-347,0x00000012da,21,3665,824,2018-05-10 18:28:02.039486
m3-355,m3-351,0x00000013d3,21,65535,768,2018-05-10 18:28:05.68365
m3-329,m3-342,0x0000001468,21,2474,1762,2018-05-10 18:28:08.072066
m3-338,m3-342,0x0000001468,21,2474,1080,2018-05-10 18:28:08.075654
m3-335,m3-342,0x0000001468,21,2218,1080,2018-05-10 18:28:08.091074
m3-334,m3-342,0x0000001468,21,2474,1080,2018-05-10 18:28:08.096081
m3-350,m3-358,0x0000001593,21,2666,512,2018-05-10 18:28:12.445715
m3-322,m3-329,0x000000168b,21,3640,2218,2018-05-10 18:28:16.177866
m3-339,m3-338,0x00000016a4,21,65535,1336,2018-05-10 18:28:16.463415
m3-346,m3-350,0x00000018f9,21,65535,768,2018-05-10 18:28:25.404888
m3-326,m3-335,0x0000001a0b,21,65535,1336,2018-05-10 18:28:29.556809
m3-322,m3-335,0x0000001a0b,21,2218,1336,2018-05-10 18:28:29.704411
m3-339,m3-350,0x0000001a0b,21,1336,768,2018-05-10 18:28:29.724829
m3-310,m3-329,0x0000001b04,21,65535,4578,2018-05-10 18:28:33.241632
m3-305,m3-310,0x0000001b4e,21,65535,4834,2018-05-10 18:28:34.355267
m3-313,m3-326,0x0000001d8a,21,65535,1648,2018-05-10 18:28:42.937539
m3-318,m3-322,0x0000002075,21,65535,1592,2018-05-10 18:28:54.143485
m3-325,m3-326,0x0000002346,21,65535,1592,2018-05-10 18:29:04.946109
m3-330,m3-334,0x000000240c,21,65535,2218,2018-05-10 18:29:07.937244
m3-330,m3-329,0x000000240c,21,65535,2218,2018-05-10 18:29:08.017215
m3-309,m3-305,0x00000026f7,21,65535,5090,2018-05-10 18:29:19.103775
m3-299,m3-305,0x00000026f7,21,65535,5090,2018-05-10 18:29:19.115599
m3-306,m3-305,0x0000002af3,21,65535,5090,2018-05-10 18:29:34.396039
m3-301,m3-305,0x0000002af3,21,65535,5090,2018-05-10 18:29:34.408081
m3-329,m3-335,0x0000002b49,21,65535,1336,2018-05-10 18:29:35.74664
m3-330,m3-342,0x0000002bb3,21,65535,3640,2018-05-10 18:29:37.418141
m3-321,m3-318,0x0000002dc5,21,65535,1848,2018-05-10 18:29:45.231911
m3-326,m3-339,0x0000002e28,21,1643,1024,2018-05-10 18:29:46.74418
m3-330,m3-334,0x0000002f53,21,65535,1336,2018-05-10 18:29:51.223751
m3-310,m3-322,0x0000003239,21,65535,1592,2018-05-10 18:30:02.352603
m3-321,m3-334,0x00000032a0,21,1848,1336,2018-05-10 18:30:03.901605
m3-310,m3-318,0x00000039af,21,65535,1848,2018-05-10 18:30:30.876749
m3-305,m3-313,0x0000003a1f,21,65535,1904,2018-05-10 18:30:32.556984
m3-317,m3-330,0x0000003a7f,21,65535,1617,2018-05-10 18:30:34.017305
m3-343,m3-334,0x0000003c8a,21,65535,1336,2018-05-10 18:30:41.978076
m3-310,m3-313,0x0000003d38,21,65535,1904,2018-05-10 18:30:44.468705
m3-309,m3-322,0x0000004117,21,65535,1738,2018-05-10 18:30:59.411029
m3-306,m3-313,0x0000004227,21,65535,1904,2018-05-10 18:31:03.480188
m3-298,m3-310,0x00000042c2,21,65535,4720,2018-05-10 18:31:05.749932
m3-343,m3-351,0x00000044fe,21,1336,768,2018-05-10 18:31:14.334691
m3-314,m3-342,0x000000476c,21,65535,3680,2018-05-10 18:31:23.615504
m3-309,m3-317,0x000000488c,21,65535,1873,2018-05-10 18:31:27.891816
m3-298,m3-305,0x00000054d4,21,4720,2160,2018-05-10 18:32:15.173499
m3-317,m3-325,0x00000058a5,21,65535,1536,2018-05-10 18:32:29.682435
m3-321,m3-326,0x00000058dc,21,65535,1280,2018-05-10 18:32:30.462791
m3-321,m3-325,0x00000058dc,21,65535,1536,2018-05-10 18:32:30.541435
m3-302,m3-310,0x00000060af,21,65535,2160,2018-05-10 18:33:00.490363
m3-326,m3-335,0x000000611d,21,65535,1336,2018-05-10 18:33:02.124754
m3-326,m3-334,0x000000611d,21,65535,1493,2018-05-10 18:33:02.203024
m3-325,m3-339,0x0000006380,21,1749,1226,2018-05-10 18:33:11.35738
m3-322,m3-326,0x00000068f1,21,65535,1280,2018-05-10 18:33:32.405534
m3-347,m3-351,0x0000006923,21,1664,768,2018-05-10 18:33:33.08476
m3-339,m3-351,0x0000007134,21,3328,768,2018-05-10 18:34:04.067377
m3-322,m3-343,0x00000072c2,21,1749,1120,2018-05-10 18:34:09.90179
m3-310,m3-322,0x000000776c,21,1904,1376,2018-05-10 18:34:27.838763
m3-330,m3-339,0x000000792c,21,1536,1024,2018-05-10 18:34:34.568223
m3-301,m3-310,0x0000007b81,21,2160,1632,2018-05-10 18:34:43.532663
m3-322,m3-334,0x00000083f5,21,3584,1305,2018-05-10 18:35:15.904996
m3-314,m3-325,0x0000008747,21,65535,1482,2018-05-10 18:35:28.528737
m3-322,m3-339,0x000000878e,21,65535,1176,2018-05-10 18:35:29.611817
m3-317,m3-330,0x00000091f3,21,2018,1336,2018-05-10 18:36:09.720956
m3-321,m3-330,0x00000092a1,21,2018,1280,2018-05-10 18:36:12.256016
m3-314,m3-339,0x000000950f,21,2018,1237,2018-05-10 18:36:21.586744
m3-329,m3-339,0x00000095d6,21,1536,1024,2018-05-10 18:36:24.469834
m3-326,m3-346,0x000000a469,21,1843,1237,2018-05-10 18:37:20.39549
m3-321,m3-322,0x000000a4b5,21,65535,1432,2018-05-10 18:37:21.550237
m3-305,m3-314,0x000000a8c8,21,2005,1493,2018-05-10 18:37:37.269431
m3-306,m3-314,0x000000a9a8,21,2005,1493,2018-05-10 18:37:40.503403
m3-321,m3-326,0x000000ac4b,21,65535,1749,2018-05-10 18:37:50.585342
m3-329,m3-330,0x000000b388,21,65535,1280,2018-05-10 18:38:18.262762
m3-335,m3-351,0x000000b7f1,21,3840,981,2018-05-10 18:38:35.37978
m3-326,m3-330,0x000000c468,21,65535,1280,2018-05-10 18:39:23.103569
m3-326,m3-325,0x000000c469,21,65535,1376,2018-05-10 18:39:23.267306
m3-321,m3-325,0x000000caa1,21,65535,1376,2018-05-10 18:39:46.924863
m3-326,m3-314,0x000000cc0c,21,65535,1493,2018-05-10 18:39:52.386733
