node,destination,asn,iana_6top_cmd,requested_cell,experiment_id,time
m3-347,m3-358,0x00000006e7,1,1,21,2018-05-10 18:27:16.103631
m3-334,m3-351,0x0000000b91,1,1,21,2018-05-10 18:27:33.997477
m3-351,m3-358,0x0000000b91,1,1,21,2018-05-10 18:27:34.003392
m3-351,m3-358,0x0000000c58,1,1,21,2018-05-10 18:27:36.973775
m3-350,m3-334,0x0000000d1f,1,1,21,2018-05-10 18:27:39.972876
m3-335,m3-334,0x0000000d1f,1,1,21,2018-05-10 18:27:40.001914
m3-330,m3-347,0x0000000de6,1,1,21,2018-05-10 18:27:42.927688
m3-334,m3-335,0x0000000ead,1,2,21,2018-05-10 18:27:45.914118
m3-335,m3-334,0x0000000f74,1,2,21,2018-05-10 18:27:48.939867
m3-350,m3-334,0x0000000f74,1,1,21,2018-05-10 18:27:48.951277
m3-338,m3-335,0x0000000f74,1,1,21,2018-05-10 18:27:48.960859
m3-329,m3-335,0x0000000f74,1,1,21,2018-05-10 18:27:48.964421
m3-330,m3-347,0x000000103b,1,1,21,2018-05-10 18:27:51.895929
m3-334,m3-335,0x000000103b,1,2,21,2018-05-10 18:27:51.907965
m3-354,m3-351,0x000000103b,1,1,21,2018-05-10 18:27:51.912409
m3-335,m3-334,0x000000104a,1,1,21,2018-05-10 18:27:52.095938
m3-342,m3-330,0x0000001102,1,1,21,2018-05-10 18:27:54.904609
m3-351,m3-358,0x0000001102,1,1,21,2018-05-10 18:27:54.906678
m3-350,m3-334,0x0000001102,1,1,21,2018-05-10 18:27:54.909196
m3-322,m3-330,0x0000001102,1,1,21,2018-05-10 18:27:54.919288
m3-329,m3-335,0x00000011c9,1,1,21,2018-05-10 18:27:57.837364
m3-330,m3-347,0x0000001290,1,3,21,2018-05-10 18:28:00.839835
m3-342,m3-347,0x0000001357,1,1,21,2018-05-10 18:28:03.809808
m3-355,m3-351,0x000000141e,1,1,21,2018-05-10 18:28:06.781221
m3-335,m3-334,0x0000001489,6,0,21,2018-05-10 18:28:08.408497
m3-329,m3-335,0x0000001494,6,0,21,2018-05-10 18:28:08.544661
m3-342,m3-330,0x000000149e,6,0,21,2018-05-10 18:28:08.700009
m3-334,m3-351,0x00000014c2,6,0,21,2018-05-10 18:28:09.247203
m3-347,m3-358,0x00000014e5,1,1,21,2018-05-10 18:28:09.785559
m3-351,m3-358,0x00000014eb,1,1,21,2018-05-10 18:28:09.851593
m3-335,m3-342,0x00000014f4,1,3,21,2018-05-10 18:28:09.993911
m3-338,m3-342,0x00000014f4,1,1,21,2018-05-10 18:28:09.996394
m3-350,m3-358,0x00000015ac,1,1,21,2018-05-10 18:28:12.766997
m3-334,m3-342,0x00000015ac,1,2,21,2018-05-10 18:28:12.769505
m3-330,m3-347,0x0000001673,1,3,21,2018-05-10 18:28:15.747156
m3-339,m3-338,0x000000173a,1,1,21,2018-05-10 18:28:18.73012
m3-322,m3-329,0x000000173a,1,1,21,2018-05-10 18:28:18.734836
m3-335,m3-342,0x0000001749,1,3,21,2018-05-10 18:28:18.933933
m3-350,m3-358,0x0000001801,1,1,21,2018-05-10 18:28:21.692499
m3-334,m3-342,0x0000001801,1,2,21,2018-05-10 18:28:21.697377
m3-346,m3-350,0x000000198f,1,1,21,2018-05-10 18:28:27.655583
m3-322,m3-335,0x0000001a56,1,1,21,2018-05-10 18:28:30.671962
m3-326,m3-335,0x0000001a56,1,1,21,2018-05-10 18:28:30.673409
m3-339,m3-350,0x0000001a56,1,1,21,2018-05-10 18:28:30.674945
m3-310,m3-329,0x0000001b1d,1,1,21,2018-05-10 18:28:33.617776
m3-338,m3-335,0x0000001bd1,6,0,21,2018-05-10 18:28:36.315476
m3-305,m3-310,0x0000001be4,1,1,21,2018-05-10 18:28:36.641061
m3-342,m3-347,0x0000001be4,1,3,21,2018-05-10 18:28:36.648999
m3-347,m3-358,0x0000001be4,1,1,21,2018-05-10 18:28:36.652777
m3-350,m3-358,0x0000001be4,1,1,21,2018-05-10 18:28:36.654501
m3-335,m3-342,0x0000001bf3,1,3,21,2018-05-10 18:28:36.823268
m3-322,m3-330,0x0000001c69,6,0,21,2018-05-10 18:28:38.626537
m3-334,m3-351,0x0000001c69,6,0,21,2018-05-10 18:28:38.630799
m3-310,m3-329,0x0000001cab,1,1,21,2018-05-10 18:28:39.586393
m3-335,m3-342,0x0000001cba,1,3,21,2018-05-10 18:28:39.800419
m3-347,m3-358,0x0000001d72,1,3,21,2018-05-10 18:28:42.623158
m3-322,m3-335,0x0000001d72,1,1,21,2018-05-10 18:28:42.638285
m3-326,m3-335,0x0000001d72,1,1,21,2018-05-10 18:28:42.64933
m3-342,m3-347,0x0000001d72,1,3,21,2018-05-10 18:28:42.691134
m3-313,m3-326,0x0000001e39,1,1,21,2018-05-10 18:28:45.542899
m3-305,m3-310,0x0000001f00,1,1,21,2018-05-10 18:28:48.568841
m3-347,m3-358,0x0000001f00,1,3,21,2018-05-10 18:28:48.578171
m3-342,m3-347,0x0000001f00,6,0,21,2018-05-10 18:28:48.579906
m3-310,m3-329,0x0000001f00,1,1,21,2018-05-10 18:28:48.582932
m3-335,m3-342,0x0000001f0f,6,0,21,2018-05-10 18:28:48.747313
m3-326,m3-335,0x0000001fc7,1,1,21,2018-05-10 18:28:51.508227
m3-338,m3-342,0x0000001fd6,1,2,21,2018-05-10 18:28:51.732938
m3-347,m3-358,0x000000208e,1,3,21,2018-05-10 18:28:54.535545
m3-318,m3-322,0x000000208e,1,1,21,2018-05-10 18:28:54.536094
m3-310,m3-329,0x000000208e,1,1,21,2018-05-10 18:28:54.537235
m3-310,m3-329,0x0000002155,1,1,21,2018-05-10 18:28:57.502093
m3-347,m3-358,0x0000002155,6,0,21,2018-05-10 18:28:57.50923
