node,new_parent,asn,time
m3-220,m3-207,0x00000008d8,2018-02-13 11:33:57.13336
m3-213,m3-220,0x0000000f29,2018-02-13 11:34:21.361825
m3-236,m3-220,0x000000111a,2018-02-13 11:34:28.8115
m3-216,m3-236,0x000000160f,2018-02-13 11:34:47.834882
m3-244,m3-236,0x000000160f,2018-02-13 11:34:47.842019
m3-252,m3-244,0x0000001896,2018-02-13 11:34:57.549116
m3-249,m3-244,0x0000001896,2018-02-13 11:34:57.551649
m3-224,m3-220,0x0000001a3d,2018-02-13 11:35:03.853914
m3-232,m3-236,0x0000001bcb,2018-02-13 11:35:09.825497
m3-217,m3-220,0x0000001dbc,2018-02-13 11:35:17.313655
m3-208,m3-220,0x0000001dbc,2018-02-13 11:35:17.314673
m3-241,m3-220,0x0000001dbc,2018-02-13 11:35:17.326448
m3-212,m3-220,0x0000001dbc,2018-02-13 11:35:17.327531
m3-225,m3-232,0x0000001e6a,2018-02-13 11:35:19.883509
m3-248,m3-249,0x000000216d,2018-02-13 11:35:31.415905
m3-237,m3-236,0x00000021ea,2018-02-13 11:35:33.292477
m3-253,m3-248,0x00000028e9,2018-02-13 11:36:00.128681
m3-233,m3-225,0x0000002933,2018-02-13 11:36:01.242081
m3-240,m3-237,0x0000002965,2018-02-13 11:36:01.986937
m3-220,m3-236,0x0000002af3,2018-02-13 11:36:08.025782
m3-221,m3-220,0x0000002dc5,2018-02-13 11:36:18.800804
m3-209,m3-212,0x0000002eef,2018-02-13 11:36:23.240952
m3-229,m3-237,0x0000002fcf,2018-02-13 11:36:26.590527
m3-233,m3-236,0x00000032a0,2018-02-13 11:36:37.52829
m3-228,m3-232,0x00000035bc,2018-02-13 11:36:49.322635
m3-245,m3-232,0x00000039d1,2018-02-13 11:37:05.001407
m3-213,m3-207,0x0000003ced,2018-02-13 11:37:16.992394
m3-212,m3-207,0x0000003f29,2018-02-13 11:37:25.552272
m3-236,m3-212,0x0000003f74,2018-02-13 11:37:26.677158
m3-208,m3-207,0x000000406d,2018-02-13 11:37:30.410005
m3-248,m3-212,0x00000041e2,2018-02-13 11:37:35.995694
m3-249,m3-232,0x000000433e,2018-02-13 11:37:41.244269
m3-252,m3-232,0x0000004593,2018-02-13 11:37:50.165739
m3-224,m3-212,0x000000484b,2018-02-13 11:38:00.586655
m3-253,m3-249,0x0000004f00,2018-02-13 11:38:26.320537
m3-225,m3-212,0x0000004f4a,2018-02-13 11:38:27.427654
m3-245,m3-212,0x00000057bf,2018-02-13 11:38:59.884919
m3-229,m3-212,0x000000594d,2018-02-13 11:39:05.846766
m3-240,m3-212,0x00000059fb,2018-02-13 11:39:08.428716
m3-221,m3-213,0x0000005dde,2018-02-13 11:39:23.378186
m3-241,m3-236,0x0000005ed6,2018-02-13 11:39:27.056122
m3-228,m3-212,0x000000658b,2018-02-13 11:39:52.782595
m3-216,m3-207,0x00000065bd,2018-02-13 11:39:53.563094
m3-217,m3-207,0x0000006700,2018-02-13 11:39:58.389712
m3-248,m3-236,0x0000006a6e,2018-02-13 11:40:11.472969
m3-232,m3-213,0x00000074cc,2018-02-13 11:40:51.296011
m3-245,m3-240,0x000000762a,2018-02-13 11:40:56.542698
m3-244,m3-212,0x0000007860,2018-02-13 11:41:05.167292
m3-244,m3-224,0x0000007860,2018-02-13 11:41:05.244519
m3-244,m3-232,0x0000007860,2018-02-13 11:41:05.319277
m3-248,m3-232,0x00000079c0,2018-02-13 11:41:10.434731
m3-248,m3-245,0x00000079c0,2018-02-13 11:41:10.507819
m3-244,m3-245,0x0000007ff6,2018-02-13 11:41:34.175615
m3-244,m3-228,0x0000008a2d,2018-02-13 11:42:13.238508
m3-248,m3-228,0x0000008a2d,2018-02-13 11:42:13.251893
m3-229,m3-216,0x0000008c67,2018-02-13 11:42:21.889312
m3-252,m3-228,0x000000939a,2018-02-13 11:42:49.480454
m3-229,m3-228,0x00000093dc,2018-02-13 11:42:50.433396
m3-216,m3-208,0x00000093fd,2018-02-13 11:42:50.956301
m3-241,m3-228,0x00000095d6,2018-02-13 11:42:58.07
m3-229,m3-225,0x0000009a1c,2018-02-13 11:43:14.341195
m3-233,m3-212,0x0000009a35,2018-02-13 11:43:14.810985
m3-253,m3-245,0x000000a3ed,2018-02-13 11:43:52.144749
m3-236,m3-225,0x000000ab68,2018-02-13 11:44:20.780113
m3-248,m3-232,0x000000af61,2018-02-13 11:44:36.138563
m3-240,m3-228,0x000000c4c4,2018-02-13 11:45:58.039089
m3-248,m3-212,0x000000e520,2018-02-13 11:48:02.28746
m3-249,m3-236,0x000000f45c,2018-02-13 11:49:00.561931
m3-249,m3-241,0x000000fc05,2018-02-13 11:49:30.058167
m3-249,m3-240,0x000000fc05,2018-02-13 11:49:30.134151
m3-249,m3-253,0x000000fc06,2018-02-13 11:49:30.223802
m3-249,m3-248,0x00000102aa,2018-02-13 11:49:55.436115
m3-240,m3-212,0x00000108e2,2018-02-13 11:50:19.336635
m3-249,m3-232,0x0000011360,2018-02-13 11:50:59.564877
m3-232,m3-212,0x00000114a4,2018-02-13 11:51:04.430874
m3-248,m3-236,0x00000129f4,2018-02-13 11:52:26.262564
m3-233,m3-225,0x0000012ef9,2018-02-13 11:52:45.44244
m3-220,m3-207,0x0000012f5c,2018-02-13 11:52:46.920561
m3-240,m3-208,0x0000014f6d,2018-02-13 11:54:49.919059
m3-245,m3-236,0x0000015e4b,2018-02-13 11:55:46.946597
m3-240,m3-228,0x00000161e4,2018-02-13 11:56:00.837759
m3-253,m3-244,0x0000016fe1,2018-02-13 11:56:54.398894
m3-249,m3-244,0x0000017699,2018-02-13 11:57:20.152562
m3-233,m3-232,0x0000020585,2018-02-13 12:06:28.41271
m3-244,m3-212,0x000003a374,2018-02-13 12:32:56.170386
