node,destination,asn,iana_6top_cmd,requested_cell,time
m3-220,m3-207,0x000000093c,1,1,2018-02-13 11:33:58.629772
m3-213,m3-220,0x0000000f74,1,1,2018-02-13 11:34:22.486472
m3-220,m3-207,0x000000103b,1,1,2018-02-13 11:34:25.46269
m3-236,m3-220,0x00000011c9,1,1,2018-02-13 11:34:31.430252
m3-220,m3-207,0x0000001290,1,1,2018-02-13 11:34:34.409575
m3-216,m3-236,0x0000001673,1,1,2018-02-13 11:34:49.321482
m3-244,m3-236,0x0000001673,1,1,2018-02-13 11:34:49.32647
m3-216,m3-236,0x000000173a,1,1,2018-02-13 11:34:52.298528
m3-236,m3-220,0x000000173e,1,1,2018-02-13 11:34:52.35869
m3-220,m3-207,0x0000001801,1,1,2018-02-13 11:34:55.281865
m3-252,m3-244,0x00000018c8,1,1,2018-02-13 11:34:58.325424
m3-244,m3-236,0x00000018c8,1,1,2018-02-13 11:34:58.331875
m3-249,m3-244,0x00000018c8,1,1,2018-02-13 11:34:58.340144
m3-216,m3-236,0x00000018c8,6,0,2018-02-13 11:34:58.342349
m3-249,m3-244,0x000000198f,1,1,2018-02-13 11:35:01.271896
m3-216,m3-236,0x000000198f,6,0,2018-02-13 11:35:01.278752
m3-244,m3-236,0x000000198f,1,1,2018-02-13 11:35:01.278912
m3-252,m3-244,0x0000001a56,1,1,2018-02-13 11:35:04.238351
m3-224,m3-220,0x0000001a56,1,1,2018-02-13 11:35:04.257233
m3-244,m3-236,0x0000001b1d,1,1,2018-02-13 11:35:07.218321
m3-220,m3-207,0x0000001b1d,1,1,2018-02-13 11:35:07.224536
m3-244,m3-236,0x0000001be4,1,1,2018-02-13 11:35:10.201991
m3-232,m3-236,0x0000001be4,1,1,2018-02-13 11:35:10.20261
m3-236,m3-220,0x0000001bf5,1,1,2018-02-13 11:35:10.444658
m3-244,m3-236,0x0000001cab,1,1,2018-02-13 11:35:13.189795
m3-249,m3-244,0x0000001d72,1,1,2018-02-13 11:35:16.181051
m3-252,m3-244,0x0000001d72,1,1,2018-02-13 11:35:16.196146
m3-232,m3-236,0x0000001d72,1,1,2018-02-13 11:35:16.199685
m3-236,m3-220,0x0000001d83,1,2,2018-02-13 11:35:16.407743
m3-217,m3-220,0x0000001e39,1,1,2018-02-13 11:35:19.20674
m3-241,m3-220,0x0000001e39,1,1,2018-02-13 11:35:19.20778
m3-212,m3-220,0x0000001e39,1,1,2018-02-13 11:35:19.210867
m3-208,m3-220,0x0000001e39,1,1,2018-02-13 11:35:19.219036
m3-236,m3-220,0x0000001e4a,1,3,2018-02-13 11:35:19.3883
m3-225,m3-232,0x0000001f00,1,1,2018-02-13 11:35:22.119983
m3-216,m3-236,0x0000001fc7,6,0,2018-02-13 11:35:25.14543
m3-232,m3-236,0x0000001fc7,1,1,2018-02-13 11:35:25.146662
m3-252,m3-244,0x0000001fc7,1,1,2018-02-13 11:35:25.155177
m3-220,m3-207,0x0000001fc7,1,1,2018-02-13 11:35:25.158196
m3-236,m3-220,0x0000001fd8,1,3,2018-02-13 11:35:25.350616
m3-241,m3-220,0x000000208e,1,1,2018-02-13 11:35:28.094031
m3-244,m3-236,0x000000208e,6,0,2018-02-13 11:35:28.094417
m3-216,m3-236,0x0000002155,6,0,2018-02-13 11:35:31.085221
m3-248,m3-249,0x000000221c,1,1,2018-02-13 11:35:34.069634
m3-241,m3-220,0x000000221c,1,1,2018-02-13 11:35:34.075553
m3-237,m3-236,0x000000221c,1,1,2018-02-13 11:35:34.090518
m3-236,m3-220,0x000000222d,1,3,2018-02-13 11:35:34.297931
m3-232,m3-236,0x00000022e3,1,1,2018-02-13 11:35:37.031309
m3-249,m3-244,0x00000022e3,1,1,2018-02-13 11:35:37.038253
m3-236,m3-220,0x00000022f4,1,3,2018-02-13 11:35:37.278643
m3-237,m3-236,0x00000023aa,1,1,2018-02-13 11:35:40.02129
m3-236,m3-220,0x00000023bb,1,3,2018-02-13 11:35:40.255989
m3-244,m3-236,0x0000002471,6,0,2018-02-13 11:35:43.004274
m3-241,m3-220,0x0000002538,1,1,2018-02-13 11:35:45.982458
m3-212,m3-220,0x0000002538,1,1,2018-02-13 11:35:45.988234
m3-236,m3-220,0x0000002549,1,3,2018-02-13 11:35:46.219273
m3-220,m3-207,0x00000025ff,1,3,2018-02-13 11:35:48.965001
m3-237,m3-236,0x00000025ff,1,1,2018-02-13 11:35:48.970804
m3-236,m3-220,0x0000002610,1,1,2018-02-13 11:35:49.202655
m3-220,m3-207,0x00000026c6,6,0,2018-02-13 11:35:51.964299
m3-216,m3-236,0x00000026c6,6,0,2018-02-13 11:35:51.967346
m3-244,m3-236,0x00000026c6,6,0,2018-02-13 11:35:51.973489
m3-217,m3-220,0x000000278d,1,1,2018-02-13 11:35:54.932551
m3-241,m3-220,0x000000278d,1,1,2018-02-13 11:35:54.950376
m3-237,m3-236,0x000000278d,1,1,2018-02-13 11:35:54.951178
m3-216,m3-236,0x0000002854,6,0,2018-02-13 11:35:57.897481
m3-241,m3-220,0x000000291b,1,1,2018-02-13 11:36:00.897484
m3-253,m3-248,0x000000291b,1,1,2018-02-13 11:36:00.914057
m3-244,m3-236,0x000000291b,6,0,2018-02-13 11:36:00.916016
m3-216,m3-236,0x00000029e2,6,0,2018-02-13 11:36:03.905368
m3-233,m3-225,0x00000029e2,1,1,2018-02-13 11:36:03.94886
m3-240,m3-237,0x00000029e2,1,1,2018-02-13 11:36:03.962919
m3-248,m3-249,0x00000029e2,1,1,2018-02-13 11:36:03.96645
m3-244,m3-236,0x00000029e2,6,0,2018-02-13 11:36:03.96776
m3-216,m3-236,0x0000002aa9,1,1,2018-02-13 11:36:06.846038
m3-249,m3-244,0x0000002aa9,1,1,2018-02-13 11:36:06.84737
m3-220,m3-207,0x0000002aff,6,0,2018-02-13 11:36:08.13321
m3-240,m3-237,0x0000002b70,1,1,2018-02-13 11:36:09.842385
m3-216,m3-236,0x0000002b70,1,1,2018-02-13 11:36:09.846588
m3-216,m3-236,0x0000002cfe,1,1,2018-02-13 11:36:15.835413
m3-244,m3-236,0x0000002cfe,1,3,2018-02-13 11:36:15.847814
m3-220,m3-236,0x0000002cfe,1,3,2018-02-13 11:36:15.851422
m3-249,m3-244,0x0000002cfe,6,0,2018-02-13 11:36:15.851863
m3-244,m3-236,0x0000002dc5,1,3,2018-02-13 11:36:18.795639
m3-221,m3-220,0x0000002e8c,1,1,2018-02-13 11:36:21.777471
m3-237,m3-236,0x0000002e8c,1,1,2018-02-13 11:36:21.784127
m3-217,m3-220,0x0000002e8c,1,1,2018-02-13 11:36:21.787668
m3-216,m3-236,0x0000002f53,1,1,2018-02-13 11:36:24.761154
m3-209,m3-212,0x0000002f53,1,1,2018-02-13 11:36:24.772755
m3-249,m3-244,0x0000002f53,6,0,2018-02-13 11:36:24.775341
m3-212,m3-220,0x000000301a,1,1,2018-02-13 11:36:27.719614
m3-229,m3-237,0x000000301a,1,1,2018-02-13 11:36:27.726152
m3-220,m3-207,0x0000003263,6,0,2018-02-13 11:36:36.480442
m3-221,m3-220,0x000000326f,1,1,2018-02-13 11:36:36.68498
m3-249,m3-244,0x000000326f,6,0,2018-02-13 11:36:36.69927
m3-240,m3-237,0x000000326f,1,1,2018-02-13 11:36:36.709787
m3-220,m3-236,0x0000003336,1,3,2018-02-13 11:36:39.660564
m3-217,m3-220,0x0000003336,1,1,2018-02-13 11:36:39.672974
m3-233,m3-236,0x0000003336,1,1,2018-02-13 11:36:39.673905
m3-249,m3-244,0x00000033fd,1,3,2018-02-13 11:36:42.630582
m3-237,m3-236,0x00000033fd,1,3,2018-02-13 11:36:42.637651
m3-233,m3-225,0x00000034a6,6,0,2018-02-13 11:36:45.157176
m3-220,m3-236,0x000000358b,1,3,2018-02-13 11:36:48.588059
m3-221,m3-220,0x000000358b,1,1,2018-02-13 11:36:48.594154
m3-228,m3-232,0x0000003652,1,1,2018-02-13 11:36:51.564304
m3-244,m3-236,0x0000003664,1,3,2018-02-13 11:36:51.836891
m3-232,m3-236,0x0000003719,1,1,2018-02-13 11:36:54.544167
m3-220,m3-236,0x00000037e0,1,3,2018-02-13 11:36:57.531411
m3-236,m3-220,0x00000037eb,1,3,2018-02-13 11:36:57.699466
m3-217,m3-220,0x00000038a7,1,1,2018-02-13 11:37:00.513452
m3-236,m3-220,0x00000038b2,1,3,2018-02-13 11:37:00.681201
m3-236,m3-220,0x0000003979,1,1,2018-02-13 11:37:03.650612
m3-244,m3-236,0x0000003980,1,3,2018-02-13 11:37:03.755509
m3-245,m3-232,0x0000003a35,1,1,2018-02-13 11:37:06.484505
