sender,asn,asn_in,seqnum,time
m3-220,0x0000000d89,0x0000000d1b,6,2018-02-13 12:34:15.126055
m3-220,0x00000012b6,0x0000001280,7,2018-02-13 12:34:34.986087
m3-213,0x00000012fa,0x0000001250,7,2018-02-13 12:34:36.001696
m3-213,0x00000017a4,0x00000016ef,8,2018-02-13 12:34:53.882697
m3-220,0x0000001844,0x00000017d2,8,2018-02-13 12:34:56.280659
m3-236,0x000000186b,0x0000001750,7,2018-02-13 12:34:56.856119
m3-236,0x0000001871,0x0000001750,7,2018-02-13 12:34:56.960497
m3-213,0x0000001c4e,0x0000001bfc,9,2018-02-13 12:35:11.775361
m3-224,0x0000001d15,0x0000001c65,9,2018-02-13 12:35:14.762432
m3-236,0x0000001d3a,0x0000001c75,8,2018-02-13 12:35:15.314045
m3-220,0x0000001db5,0x0000001db4,9,2018-02-13 12:35:17.148801
m3-213,0x0000002031,0x0000001fda,10,2018-02-13 12:35:26.677811
m3-232,0x0000002056,0x0000001ec3,9,2018-02-13 12:35:27.224486
m3-224,0x00000020f8,0x000000204e,10,2018-02-13 12:35:29.663801
m3-236,0x000000211d,0x000000209e,9,2018-02-13 12:35:30.222968
m3-224,0x00000021bf,0x000000204e,10,2018-02-13 12:35:32.639075
m3-224,0x00000021c5,0x000000204e,10,2018-02-13 12:35:32.732623
m3-236,0x00000021e4,0x000000209e,9,2018-02-13 12:35:33.203695
m3-220,0x0000002242,0x000000222f,10,2018-02-13 12:35:34.615051
m3-225,0x00000022ab,0x0000002202,10,2018-02-13 12:35:36.187998
m3-208,0x0000002309,0x000000228b,10,2018-02-13 12:35:37.586866
m3-232,0x0000002439,0x000000230b,10,2018-02-13 12:35:42.149536
m3-213,0x00000024db,0x0000002428,11,2018-02-13 12:35:44.586364
m3-213,0x00000024e1,0x0000002428,11,2018-02-13 12:35:44.653044
m3-224,0x0000002669,0x0000002636,11,2018-02-13 12:35:50.538945
m3-236,0x000000268e,0x000000261b,10,2018-02-13 12:35:51.080704
m3-213,0x0000004050,0x0000003fab,16,2018-02-13 12:37:29.896377
m3-208,0x0000004492,0x0000004438,17,2018-02-13 12:37:46.222294
m3-213,0x00000045c1,0x00000044fd,17,2018-02-13 12:37:50.771681
m3-212,0x0000004699,0x0000004694,17,2018-02-13 12:37:53.998991
m3-209,0x0000004760,0x00000045d2,17,2018-02-13 12:37:56.983791
m3-208,0x0000004a03,0x0000004936,18,2018-02-13 12:38:07.109098
m3-213,0x0000004b32,0x0000004a76,18,2018-02-13 12:38:11.634233
m3-209,0x0000004c4b,0x0000004ba9,18,2018-02-13 12:38:15.826707
m3-212,0x0000004d12,0x0000004ce9,18,2018-02-13 12:38:18.837288
m3-208,0x0000004de6,0x0000004dde,19,2018-02-13 12:38:22.010831
m3-213,0x00000050a3,0x0000004f5e,19,2018-02-13 12:38:32.512758
m3-209,0x0000005242,0x00000051d5,19,2018-02-13 12:38:38.728145
m3-208,0x0000005290,0x00000051e2,20,2018-02-13 12:38:39.894736
m3-212,0x000000534a,0x0000005341,19,2018-02-13 12:38:42.687293
m3-213,0x0000005614,0x0000005543,20,2018-02-13 12:38:53.381842
m3-209,0x0000005625,0x00000055b3,20,2018-02-13 12:38:53.645726
m3-212,0x000000572d,0x0000005722,20,2018-02-13 12:38:57.59266
m3-208,0x0000005801,0x000000575b,21,2018-02-13 12:39:00.770257
m3-213,0x00000059f7,0x0000005952,21,2018-02-13 12:39:08.29091
m3-225,0x0000005b10,0x00000059e8,21,2018-02-13 12:39:12.492666
m3-209,0x0000005b96,0x0000005a38,21,2018-02-13 12:39:14.521111
m3-212,0x0000005d24,0x0000005ce0,21,2018-02-13 12:39:20.479296
m3-208,0x0000005d72,0x0000005cd5,22,2018-02-13 12:39:21.641875
m3-213,0x0000005dda,0x0000005d9c,22,2018-02-13 12:39:23.200824
m3-225,0x0000005eb2,0x0000005e0a,22,2018-02-13 12:39:26.435668
m3-209,0x0000005f79,0x0000005ee0,22,2018-02-13 12:39:29.411753
m3-212,0x0000006107,0x00000060c4,22,2018-02-13 12:39:35.380102
m3-208,0x0000006155,0x000000611f,23,2018-02-13 12:39:36.553938
m3-213,0x0000006412,0x00000063be,23,2018-02-13 12:39:47.062414
m3-209,0x0000006423,0x0000006355,23,2018-02-13 12:39:47.307314
m3-221,0x000000644e,0x0000006374,24,2018-02-13 12:39:48.003673
m3-221,0x00000064d9,0x0000006374,24,2018-02-13 12:39:50.040288
m3-225,0x00000064ea,0x00000063e5,23,2018-02-13 12:39:50.306304
m3-212,0x00000065b1,0x0000006541,23,2018-02-13 12:39:53.27664
m3-240,0x00000065e8,0x0000006518,23,2018-02-13 12:39:54.104706
m3-208,0x00000066c6,0x00000066ad,24,2018-02-13 12:39:57.424278
m3-212,0x0000006994,0x0000006965,24,2018-02-13 12:40:08.19261
m3-213,0x00000069bf,0x0000006992,24,2018-02-13 12:40:08.869427
m3-209,0x00000069cb,0x00000068e5,24,2018-02-13 12:40:09.012435
m3-221,0x0000006a4a,0x000000690c,25,2018-02-13 12:40:10.924785
m3-225,0x0000006a5b,0x000000697e,24,2018-02-13 12:40:11.165577
m3-208,0x0000006b70,0x0000006b66,25,2018-02-13 12:40:15.313746
m3-212,0x0000006d77,0x0000006d61,25,2018-02-13 12:40:23.088744
m3-240,0x0000006dae,0x000000695e,24,2018-02-13 12:40:23.913959
m3-228,0x0000006e3e,0x0000006dc1,25,2018-02-13 12:40:26.066956
m3-209,0x0000006e7f,0x0000006da7,25,2018-02-13 12:40:27.154157
m3-216,0x0000006e8b,0x0000006e0a,26,2018-02-13 12:40:27.251051
m3-240,0x0000006ee8,0x0000006e63,25,2018-02-13 12:40:28.623387
m3-221,0x0000006ef4,0x0000006e86,26,2018-02-13 12:40:28.806283
m3-213,0x0000006fbb,0x0000006f81,25,2018-02-13 12:40:31.789326
m3-225,0x0000007076,0x0000006fb9,25,2018-02-13 12:40:34.574837
m3-217,0x0000007132,0x000000709b,25,2018-02-13 12:40:37.4029
m3-208,0x000000726f,0x00000071b3,26,2018-02-13 12:40:42.149434
m3-212,0x00000072cb,0x00000072a3,26,2018-02-13 12:40:43.522917
m3-228,0x00000072e8,0x00000071f1,26,2018-02-13 12:40:43.957603
m3-209,0x00000073af,0x00000072d3,26,2018-02-13 12:40:46.953173
m3-213,0x00000073da,0x00000073a9,26,2018-02-13 12:40:47.622232
m3-225,0x0000007459,0x000000739c,26,2018-02-13 12:40:49.484706
m3-221,0x00000074a1,0x000000737e,27,2018-02-13 12:40:50.608676
m3-216,0x0000007651,0x0000007309,27,2018-02-13 12:40:57.051742
m3-228,0x00000076ae,0x000000765b,27,2018-02-13 12:40:58.445257
m3-212,0x0000007717,0x000000770d,27,2018-02-13 12:41:00.045535
m3-208,0x0000007719,0x00000076e3,27,2018-02-13 12:41:00.125386
m3-217,0x000000776a,0x00000076d9,26,2018-02-13 12:41:01.280555
m3-240,0x0000007775,0x000000746d,26,2018-02-13 12:41:01.41938
m3-224,0x00000077b2,0x000000775b,27,2018-02-13 12:41:02.33807
m3-216,0x00000077df,0x000000771a,28,2018-02-13 12:41:03.012861
m3-209,0x000000790a,0x00000078e1,27,2018-02-13 12:41:07.480384
m3-225,0x00000079ca,0x000000791a,27,2018-02-13 12:41:10.360066
m3-240,0x00000079d1,0x000000797b,27,2018-02-13 12:41:10.478845
m3-213,0x0000007a12,0x0000007917,27,2018-02-13 12:41:11.493955
m3-221,0x0000007a9d,0x000000786f,28,2018-02-13 12:41:13.535152
m3-217,0x0000007b4d,0x0000007ae1,27,2018-02-13 12:41:16.213857
m3-228,0x0000007b58,0x0000007ab7,28,2018-02-13 12:41:16.346443
m3-212,0x0000007b75,0x0000007b6b,28,2018-02-13 12:41:16.759326
m3-208,0x0000007c8a,0x0000007be7,28,2018-02-13 12:41:20.907066
m3-216,0x0000007d50,0x0000007cb1,29,2018-02-13 12:41:23.886845
m3-224,0x0000007de6,0x0000007cb2,28,2018-02-13 12:41:26.11897
m3-213,0x0000007e80,0x0000007e2d,28,2018-02-13 12:41:28.434388
m3-225,0x0000007f3b,0x0000007e86,28,2018-02-13 12:41:31.238954
m3-209,0x0000007f42,0x0000007f10,28,2018-02-13 12:41:31.335359
m3-221,0x0000007f47,0x0000007e72,29,2018-02-13 12:41:31.446754
m3-240,0x0000007f58,0x0000007d87,28,2018-02-13 12:41:31.671673
m3-217,0x0000007ff7,0x0000007f86,28,2018-02-13 12:41:34.055008
m3-228,0x00000080c9,0x0000008081,29,2018-02-13 12:41:37.204852
m3-224,0x0000008102,0x00000080e5,29,2018-02-13 12:41:38.040721
m3-208,0x0000008134,0x00000080af,29,2018-02-13 12:41:38.800482
